# time,voltage,current
1626784200000.0,287.9,6.62
1626787800000.0,292.78,6.08
1626791400000.0,294.4,5.27
1626795000000.0,300.97,4.19
1626798600000.0,305.91,3.1
1626802200000.0,306.67,1.9
1626805800000.0,306.31,0.59
1626809400000.0,285.58,0.34
1626813000000.0,243.96,0.09
1626816600000.0,40.47,0.0
1626820200000.0,0.85,0.0
1626823800000.0,0.17,0.0
1626827400000.0,0.1,0.0
1626831000000.0,0.1,0.0
1626834600000.0,0.13,0.0
1626838200000.0,2.94,0.0
1626841800000.0,124.91,0.02
1626845400000.0,342.57,0.09
1626849000000.0,329.71,1.8
1626852600000.0,341.51,1.42
1626856200000.0,344.06,1.07
1626859800000.0,370.14,0.03
1626863400000.0,371.96,0.04
1626867000000.0,370.04,0.28
1626870600000.0,373.21,0.03
1626874200000.0,372.71,0.03
1626877800000.0,373.0,0.04
1626881400000.0,367.82,0.22
1626885000000.0,331.58,0.99
1626888600000.0,368.67,0.03
1626892200000.0,316.97,0.44
1626895800000.0,284.58,0.4
1626899400000.0,216.13,0.05
1626903000000.0,23.36,0.0
1626906600000.0,0.77,0.0
1626910200000.0,0.14,0.0
1626913800000.0,0.1,0.0
1626917400000.0,0.16,0.0
1626921000000.0,0.1,0.0
1626924600000.0,1.19,0.0
1626928200000.0,111.35,0.02
1626931800000.0,293.2,0.31
1626935400000.0,308.29,1.52
1626939000000.0,304.23,3.32
1626942600000.0,305.03,4.49
1626946200000.0,302.21,4.04
1626949800000.0,301.05,3.81
1626953400000.0,298.05,5.44
1626957000000.0,294.95,6.25
1626960600000.0,288.51,6.02
1626964200000.0,295.02,5.45
1626967800000.0,301.96,4.35
1626971400000.0,306.63,3.02
1626975000000.0,308.01,1.78
1626978600000.0,298.88,0.79
1626982200000.0,285.89,0.39
1626985800000.0,228.92,0.09
1626989400000.0,26.7,0.0
1626993000000.0,0.77,0.0
1626996600000.0,0.2,0.0
1627000200000.0,0.23,0.0
1627003800000.0,0.16,0.0
1627007400000.0,0.1,0.0
1627011000000.0,1.57,0.0
1627014600000.0,88.65,0.02
1627018200000.0,286.83,0.44
1627021800000.0,298.99,1.84
1627025400000.0,309.01,3.48
1627029000000.0,303.08,4.84
1627032600000.0,299.45,4.87
1627036200000.0,302.12,5.0
1627039800000.0,300.69,5.01
1627043400000.0,296.11,6.23
1627047000000.0,298.83,5.76
1627050600000.0,300.99,5.1
1627054200000.0,303.75,4.08
1627057800000.0,307.29,3.16
1627061400000.0,304.14,1.53
1627065000000.0,300.6,0.94
1627068600000.0,286.06,0.44
1627072200000.0,215.53,0.04
1627075800000.0,14.15,0.0
1627079400000.0,0.81,0.0
1627083000000.0,0.26,0.0
1627086600000.0,0.2,0.0
1627090200000.0,0.3,0.0
1627093800000.0,0.21,0.0
1627097400000.0,1.25,0.0
1627101000000.0,112.61,0.02
1627104600000.0,297.79,0.55
1627108200000.0,317.64,1.95
1627111800000.0,311.43,3.37
1627115400000.0,304.16,4.76
1627119000000.0,304.54,2.97
1627122600000.0,299.98,4.52
1627126200000.0,290.42,5.78
1627129800000.0,271.31,4.68
1627133400000.0,300.82,3.69
1627137000000.0,294.01,3.86
1627140600000.0,295.77,3.93
1627144200000.0,305.68,2.72
1627147800000.0,307.78,1.36
1627151400000.0,300.85,0.65
1627155000000.0,288.36,0.34
1627158600000.0,219.5,0.06
1627162200000.0,12.92,0.0
1627165800000.0,0.83,0.0
1627169400000.0,0.29,0.0
1627173000000.0,0.31,0.0
1627176600000.0,0.36,0.0
1627180200000.0,0.3,0.0
1627183800000.0,1.09,0.0
1627187400000.0,93.2,0.01
1627191000000.0,299.31,0.5
1627194600000.0,320.68,2.02
1627198200000.0,308.32,3.49
1627201800000.0,301.53,4.6
1627205400000.0,298.61,5.7
1627209000000.0,293.19,6.32
1627212600000.0,289.74,6.59
1627216200000.0,286.75,6.5
1627219800000.0,286.71,6.02
1627223400000.0,291.14,5.28
1627227000000.0,293.82,4.03
1627230600000.0,300.47,3.59
1627234200000.0,310.5,1.9
1627237800000.0,303.98,0.51
1627241400000.0,283.08,0.28
1627245000000.0,222.05,0.05
1627248600000.0,12.2,0.0
1627252200000.0,0.17,0.0
1627255800000.0,0.21,0.0
1627259400000.0,0.3,0.0
1627263000000.0,0.33,0.0
1627266600000.0,0.36,0.0
1627270200000.0,1.14,0.0
1627273800000.0,110.19,0.02
1627277400000.0,294.85,0.26
1627281000000.0,308.57,0.84
1627284600000.0,306.2,0.99
1627288200000.0,307.46,1.56
1627291800000.0,304.38,3.39
1627295400000.0,301.87,3.65
1627299000000.0,306.64,1.77
1627302600000.0,309.46,1.68
1627306200000.0,299.65,1.03
1627309800000.0,302.07,0.92
1627313400000.0,296.72,0.43
1627317000000.0,308.66,0.98
1627320600000.0,311.82,1.31
1627324200000.0,300.73,0.61
1627327800000.0,268.16,0.15
1627331400000.0,172.88,0.0
1627335000000.0,5.51,0.0
1627338600000.0,0.93,0.0
1627342200000.0,0.41,0.0
1627345800000.0,0.34,0.0
1627349400000.0,0.33,0.0
1627353000000.0,0.34,0.0
1627356600000.0,0.76,0.0
1627360200000.0,53.26,0.0
1627363800000.0,279.48,0.27
1627367400000.0,310.91,1.08
1627371000000.0,314.29,1.72
1627374600000.0,312.97,2.11
1627378200000.0,312.88,2.78
1627381800000.0,313.27,2.88
1627385400000.0,309.52,4.22
1627389000000.0,305.54,3.99
1627392600000.0,296.73,5.75
1627396200000.0,303.89,2.93
1627399800000.0,304.53,2.65
1627403400000.0,308.05,2.08
1627407000000.0,308.96,1.57
1627410600000.0,300.58,0.7
1627414200000.0,284.75,0.28
1627417800000.0,221.59,0.04
1627421400000.0,10.34,0.0
1627425000000.0,0.87,0.0
1627428600000.0,0.29,0.0
1627432200000.0,0.26,0.0
1627435800000.0,0.3,0.0
1627439400000.0,0.38,0.0
1627443000000.0,0.76,0.0
1627446600000.0,70.71,0.01
1627450200000.0,293.41,0.45
1627453800000.0,314.72,1.58
1627457400000.0,312.8,3.27
1627461000000.0,307.13,3.12
1627464600000.0,300.74,4.4
1627468200000.0,304.85,4.53
1627471800000.0,306.44,4.97
1627475400000.0,308.45,3.8
1627479000000.0,308.84,4.77
1627482600000.0,311.62,4.06
1627486200000.0,308.48,3.02
1627489800000.0,310.33,2.2
1627493400000.0,317.34,1.52
1627497000000.0,302.82,0.58
1627500600000.0,293.02,0.3
1627504200000.0,224.75,0.05
1627507800000.0,8.82,0.01
1627511400000.0,0.77,0.0
1627515000000.0,0.17,0.0
