# time,voltage,current
1634045400000.0,306.54,1.91
1634049000000.0,310.35,1.34
1634052600000.0,298.86,0.64
1634056200000.0,293.6,0.4
1634059800000.0,261.46,0.0
1634063400000.0,31.97,0.0
1634067000000.0,1.31,0.0
1634070600000.0,1.28,0.0
1634074200000.0,1.25,0.0
1634077800000.0,0.82,0.0
1634081400000.0,0.24,0.0
1634085000000.0,0.61,0.0
1634088600000.0,0.91,0.0
1634092200000.0,0.92,0.0
1634095800000.0,0.74,0.0
1634099400000.0,1.55,0.0
1634103000000.0,2.63,0.0
1634106600000.0,36.54,0.0
1634110200000.0,280.99,0.28
1634113800000.0,322.78,1.66
1634117400000.0,318.61,2.14
1634121000000.0,313.54,2.13
1634124600000.0,309.0,1.28
1634128200000.0,311.34,1.3
1634131800000.0,310.73,1.13
1634135400000.0,307.01,0.9
1634139000000.0,309.3,0.82
1634142600000.0,296.37,0.49
1634146200000.0,233.91,0.0
1634149800000.0,20.01,0.0
1634153400000.0,1.85,0.0
1634157000000.0,1.69,0.0
1634160600000.0,1.41,0.0
1634164200000.0,1.05,0.0
1634167800000.0,0.54,0.0
1634171400000.0,0.57,0.0
1634175000000.0,0.55,0.0
1634178600000.0,0.53,0.0
1634182200000.0,0.5,0.0
1634185800000.0,0.82,0.0
1634189400000.0,1.52,0.0
1634193000000.0,36.01,0.0
1634196600000.0,219.11,0.14
1634200200000.0,293.51,0.51
1634203800000.0,299.88,0.7
1634207400000.0,307.28,1.0
1634211000000.0,310.92,1.1
1634214600000.0,307.84,1.18
1634218200000.0,308.19,1.3
1634221800000.0,302.92,0.81
1634225400000.0,297.76,0.63
1634229000000.0,291.03,0.42
1634232600000.0,237.23,0.14
1634236200000.0,10.35,0.0
1634239800000.0,1.51,0.0
1634243400000.0,1.5,0.0
1634247000000.0,1.36,0.0
1634250600000.0,0.85,0.0
1634254200000.0,0.24,0.0
1634257800000.0,0.24,0.0
1634261400000.0,0.28,0.0
1634265000000.0,0.5,0.0
1634268600000.0,0.62,0.0
1634272200000.0,1.14,0.0
1634275800000.0,2.01,0.0
1634279400000.0,32.76,0.0
1634283000000.0,252.26,0.15
1634286600000.0,311.88,0.7
1634290200000.0,315.4,0.99
1634293800000.0,316.5,1.62
1634297400000.0,312.79,1.77
1634301000000.0,310.98,1.62
1634304600000.0,314.01,1.98
1634308200000.0,315.8,1.88
1634311800000.0,306.92,0.84
1634315400000.0,291.08,0.29
1634319000000.0,240.48,0.14
1634322600000.0,9.73,0.0
1634326200000.0,1.44,0.0
1634329800000.0,1.76,0.0
1634333400000.0,1.62,0.0
1634337000000.0,1.25,0.0
1634340600000.0,0.62,0.0
1634344200000.0,0.61,0.0
1634347800000.0,0.57,0.0
1634351400000.0,0.5,0.0
1634355000000.0,0.35,0.0
1634358600000.0,0.71,0.0
1634362200000.0,1.33,0.0
1634365800000.0,75.81,0.0
1634369400000.0,274.37,0.3
1634373000000.0,302.9,0.72
1634376600000.0,317.89,1.24
1634380200000.0,315.97,1.6
1634383800000.0,315.51,1.71
1634387400000.0,314.84,1.44
1634391000000.0,313.02,1.28
1634394600000.0,309.09,0.84
1634398200000.0,299.86,0.65
1634401800000.0,281.21,0.2
1634405400000.0,181.75,0.0
