# time,voltage,current
1624365000000.0,297.44,5.93
1624368600000.0,305.54,5.03
1624372200000.0,303.1,4.38
1624375800000.0,310.18,3.04
1624379400000.0,313.06,2.33
1624383000000.0,315.73,1.13
1624386600000.0,310.54,0.9
1624390200000.0,300.7,0.34
1624393800000.0,267.12,0.09
1624397400000.0,91.63,0.01
1624401000000.0,1.36,0.01
1624404600000.0,0.5,0.0
1624408200000.0,0.51,0.0
1624411800000.0,0.4,0.0
1624415400000.0,0.51,0.0
1624419000000.0,20.45,0.0
1624422600000.0,152.96,0.01
1624426200000.0,285.27,0.19
1624429800000.0,298.29,0.4
1624433400000.0,306.15,0.63
1624437000000.0,308.97,0.81
1624440600000.0,312.63,1.25
1624444200000.0,311.2,1.68
1624447800000.0,310.66,1.9
1624451400000.0,308.64,2.12
1624455000000.0,308.34,2.24
1624458600000.0,308.15,2.53
1624462200000.0,309.21,2.31
1624465800000.0,305.11,2.57
1624469400000.0,303.67,1.64
1624473000000.0,301.34,0.98
1624476600000.0,300.76,0.68
1624480200000.0,275.01,0.19
1624483800000.0,122.66,0.01
1624487400000.0,1.46,0.01
1624491000000.0,0.38,0.0
1624494600000.0,0.35,0.0
1624498200000.0,0.19,0.0
1624501800000.0,0.43,0.0
1624505400000.0,31.16,0.0
1624509000000.0,240.73,0.17
1624512600000.0,321.4,1.44
1624516200000.0,313.42,2.63
1624519800000.0,310.57,2.32
1624523400000.0,301.19,4.17
1624527000000.0,297.65,4.82
1624530600000.0,297.34,4.68
1624534200000.0,295.96,4.66
1624537800000.0,292.24,5.86
1624541400000.0,296.82,5.04
1624545000000.0,301.08,4.47
1624548600000.0,304.7,2.9
1624552200000.0,308.82,1.37
1624555800000.0,299.87,0.6
1624559400000.0,293.77,0.41
1624563000000.0,250.68,0.08
1624566600000.0,246.02,0.07
1624570200000.0,96.86,0.02
1624573800000.0,1.49,0.01
1624577400000.0,0.53,0.0
1624581000000.0,0.48,0.0
1624584600000.0,0.58,0.0
1624588200000.0,0.68,0.0
1624591800000.0,38.69,0.0
1624595400000.0,232.09,0.14
1624599000000.0,314.74,0.75
1624602600000.0,323.44,2.98
1624606200000.0,309.79,4.51
1624609800000.0,314.78,3.6
1624613400000.0,314.4,2.76
1624617000000.0,317.94,2.03
1624620600000.0,317.53,2.67
1624624200000.0,316.95,2.43
1624627800000.0,317.18,2.58
1624631400000.0,308.25,4.19
1624635000000.0,314.56,2.25
1624638600000.0,314.51,2.12
1624642200000.0,313.76,1.24
1624645800000.0,309.78,0.87
1624649400000.0,298.15,0.44
1624653000000.0,268.49,0.13
1624656600000.0,130.34,0.01
1624660200000.0,1.48,0.0
1624663800000.0,0.39,0.0
1624667400000.0,0.38,0.0
1624671000000.0,0.35,0.0
1624674600000.0,0.43,0.0
1624678200000.0,27.75,0.0
1624681800000.0,186.2,0.07
1624685400000.0,318.44,1.04
1624689000000.0,319.84,1.5
1624692600000.0,318.83,1.23
1624696200000.0,318.21,1.56
1624699800000.0,313.95,3.12
1624703400000.0,317.97,2.3
1624707000000.0,316.62,2.09
1624710600000.0,316.25,2.71
1624714200000.0,307.49,5.94
1624717800000.0,313.64,3.36
1624721400000.0,311.79,3.04
1624725000000.0,314.87,2.38
1624728600000.0,314.65,2.12
1624732200000.0,321.04,0.97
1624735800000.0,294.88,0.35
1624739400000.0,270.36,0.11
1624743000000.0,111.55,0.01
1624746600000.0,1.61,0.01
1624750200000.0,0.16,0.0
1624753800000.0,0.17,0.0
1624757400000.0,0.29,0.0
1624761000000.0,0.4,0.0
1624764600000.0,30.47,0.0
1624768200000.0,219.87,0.14
1624771800000.0,322.08,1.31
1624775400000.0,319.95,2.64
1624779000000.0,300.07,4.0
1624782600000.0,303.83,5.37
1624786200000.0,300.89,6.34
1624789800000.0,299.19,6.94
1624793400000.0,295.89,6.5
1624797000000.0,296.06,5.57
1624800600000.0,297.6,5.23
1624804200000.0,301.67,4.92
1624807800000.0,300.26,4.14
1624811400000.0,305.58,2.92
1624815000000.0,312.25,2.17
1624818600000.0,308.55,0.99
1624822200000.0,291.06,0.36
1624825800000.0,257.56,0.11
1624829400000.0,102.18,0.01
1624833000000.0,0.64,0.01
1624836600000.0,0.1,0.01
1624840200000.0,0.16,0.01
1624843800000.0,0.24,0.01
1624847400000.0,0.41,0.0
1624851000000.0,24.32,0.0
1624854600000.0,190.31,0.06
1624858200000.0,294.41,0.33
1624861800000.0,312.09,0.89
1624865400000.0,314.39,1.25
1624869000000.0,313.8,1.72
1624872600000.0,314.56,2.27
1624876200000.0,312.61,2.39
1624879800000.0,312.91,2.85
1624883400000.0,305.44,4.59
1624887000000.0,294.42,6.7
1624890600000.0,293.28,5.78
1624894200000.0,306.29,2.93
1624897800000.0,309.31,1.94
1624901400000.0,307.07,1.41
1624905000000.0,305.3,1.0
1624908600000.0,298.45,0.58
1624912200000.0,280.07,0.2
1624915800000.0,117.02,0.03
1624919400000.0,1.41,0.02
1624923000000.0,0.12,0.01
1624926600000.0,0.12,0.01
1624930200000.0,0.2,0.01
1624933800000.0,0.4,0.0
1624937400000.0,28.71,0.0
1624941000000.0,233.9,0.1
1624944600000.0,320.61,1.11
1624948200000.0,320.72,2.77
1624951800000.0,314.61,3.96
1624955400000.0,306.64,5.42
1624959000000.0,299.76,6.24
1624962600000.0,297.48,6.49
1624966200000.0,297.99,5.46
1624969800000.0,293.3,6.5
1624973400000.0,293.98,6.03
1624977000000.0,296.55,5.43
1624980600000.0,296.5,4.31
1624984200000.0,304.39,2.74
1624987800000.0,311.27,1.59
1624991400000.0,303.01,0.7
1624995000000.0,288.79,0.29
1624998600000.0,257.8,0.08
1625002200000.0,83.26,0.0
1625005800000.0,1.19,0.01
1625009400000.0,0.12,0.0
1625013000000.0,0.11,0.01
1625016600000.0,0.17,0.0
1625020200000.0,0.45,0.01
1625023800000.0,20.39,0.0
1625027400000.0,147.15,0.03
1625031000000.0,292.2,0.33
1625034600000.0,312.65,0.84
1625038200000.0,312.53,3.01
1625041800000.0,300.18,5.07
1625045400000.0,290.2,6.15
1625049000000.0,292.29,5.27
1625052600000.0,290.41,4.86
1625056200000.0,299.37,4.38
1625059800000.0,297.95,4.66
1625063400000.0,292.53,5.82
1625067000000.0,303.35,4.27
1625070600000.0,310.71,3.47
1625074200000.0,311.83,2.23
1625077800000.0,307.4,1.14
1625081400000.0,293.55,0.59
1625085000000.0,253.61,0.14
1625088600000.0,75.71,0.01
1625092200000.0,1.09,0.01
1625095800000.0,0.15,0.01
1625099400000.0,0.1,0.01
1625103000000.0,0.12,0.0
1625106600000.0,0.34,0.01
1625110200000.0,27.27,0.01
1625113800000.0,205.32,0.1
1625117400000.0,312.15,0.79
1625121000000.0,313.92,0.96
1625124600000.0,314.53,1.13
1625128200000.0,314.81,2.15
1625131800000.0,310.99,3.15
1625135400000.0,296.3,4.72
1625139000000.0,296.16,5.8
1625142600000.0,291.7,6.99
1625146200000.0,294.33,5.01
1625149800000.0,296.8,4.91
1625153400000.0,297.0,4.59
1625157000000.0,306.25,3.42
1625160600000.0,312.36,1.93
1625164200000.0,316.65,0.65
1625167800000.0,292.5,0.3
1625171400000.0,267.14,0.11
1625175000000.0,118.67,0.02
1625178600000.0,1.69,0.0
1625182200000.0,0.54,0.0
1625185800000.0,0.56,0.0
1625189400000.0,0.56,0.0
1625193000000.0,0.59,0.0
1625196600000.0,19.78,0.0
1625200200000.0,172.24,0.05
1625203800000.0,296.81,0.37
1625207400000.0,298.63,0.49
1625211000000.0,301.54,0.59
1625214600000.0,312.9,1.12
1625218200000.0,314.61,2.54
1625221800000.0,313.53,3.04
1625225400000.0,310.5,3.35
1625229000000.0,315.45,1.89
1625232600000.0,313.18,1.41
1625236200000.0,315.97,1.52
1625239800000.0,304.61,0.73
1625243400000.0,317.11,1.62
1625247000000.0,311.94,1.08
1625250600000.0,305.44,0.84
1625254200000.0,276.42,0.31
1625257800000.0,212.04,0.03
1625261400000.0,51.07,0.0
1625265000000.0,1.25,0.0
1625268600000.0,0.64,0.0
1625272200000.0,0.56,0.0
1625275800000.0,0.63,0.0
1625279400000.0,0.66,0.0
1625283000000.0,5.78,0.0
1625286600000.0,102.87,0.02
1625290200000.0,282.61,0.24
1625293800000.0,284.32,0.24
1625297400000.0,303.28,0.91
1625301000000.0,310.57,1.67
1625304600000.0,311.36,1.91
1625308200000.0,309.3,2.2
1625311800000.0,312.44,3.31
1625315400000.0,306.56,4.62
1625319000000.0,304.21,4.64
1625322600000.0,310.5,3.17
1625326200000.0,313.4,2.44
1625329800000.0,314.24,2.4
1625333400000.0,311.9,1.59
1625337000000.0,308.95,0.96
1625340600000.0,276.95,0.27
1625344200000.0,228.0,0.04
1625347800000.0,61.03,0.02
1625351400000.0,1.14,0.01
1625355000000.0,0.25,0.01
1625358600000.0,0.32,0.01
1625362200000.0,0.44,0.0
1625365800000.0,0.46,0.0
1625369400000.0,17.36,0.0
1625373000000.0,108.98,0.02
1625376600000.0,285.06,0.22
1625380200000.0,297.41,0.42
1625383800000.0,310.95,1.14
1625387400000.0,314.46,1.76
1625391000000.0,310.68,2.43
1625394600000.0,307.99,4.2
1625398200000.0,306.34,4.11
1625401800000.0,306.96,3.99
1625405400000.0,311.89,3.06
1625409000000.0,313.3,3.19
1625412600000.0,309.58,2.53
1625416200000.0,311.59,1.39
1625419800000.0,318.11,1.45
1625423400000.0,311.01,1.0
1625427000000.0,301.95,0.56
1625430600000.0,266.86,0.13
1625434200000.0,83.25,0.01
1625437800000.0,0.57,0.0
1625441400000.0,0.11,0.0
1625445000000.0,0.25,0.0
1625448600000.0,0.16,0.0
1625452200000.0,0.28,0.0
1625455800000.0,26.29,0.0
1625459400000.0,197.01,0.07
1625463000000.0,311.27,0.91
1625466600000.0,320.26,2.03
1625470200000.0,304.78,4.4
1625473800000.0,304.99,3.13
1625477400000.0,307.88,4.21
1625481000000.0,302.35,4.57
1625484600000.0,314.45,2.05
1625488200000.0,315.25,2.26
1625491800000.0,313.54,3.19
1625495400000.0,315.29,2.93
1625499000000.0,314.82,2.82
1625502600000.0,315.11,1.74
1625506200000.0,316.09,1.71
1625509800000.0,312.9,1.12
1625513400000.0,307.58,0.84
1625517000000.0,278.38,0.22
1625520600000.0,74.79,0.0
1625524200000.0,1.23,0.0
1625527800000.0,0.13,0.0
1625531400000.0,0.1,0.0
1625535000000.0,0.14,0.0
1625538600000.0,0.17,0.0
1625542200000.0,17.82,0.0
1625545800000.0,180.71,0.07
1625549400000.0,270.96,0.11
1625553000000.0,292.24,0.26
1625556600000.0,312.09,0.82
1625560200000.0,317.5,1.28
1625563800000.0,317.71,1.64
1625567400000.0,315.48,1.78
1625571000000.0,315.86,2.49
1625574600000.0,312.14,2.89
1625578200000.0,311.92,2.95
1625581800000.0,311.8,1.87
1625585400000.0,309.74,2.47
1625589000000.0,308.77,1.53
1625592600000.0,301.1,0.69
1625596200000.0,291.48,0.28
1625599800000.0,278.49,0.21
1625603400000.0,250.3,0.08
1625607000000.0,63.28,0.01
1625610600000.0,1.14,0.0
1625614200000.0,0.44,0.0
1625617800000.0,0.47,0.0
1625621400000.0,0.45,0.0
1625625000000.0,0.44,0.0
1625628600000.0,6.68,0.0
1625632200000.0,144.99,0.04
1625635800000.0,309.19,0.85
1625639400000.0,310.26,1.26
1625643000000.0,308.82,3.68
1625646600000.0,299.96,4.46
1625653800000.0,301.63,5.17
1625657400000.0,302.91,3.75
1625661000000.0,305.02,3.83
1625664600000.0,298.83,6.0
1625668200000.0,298.48,5.88
1625671800000.0,304.3,4.34
1625675400000.0,309.48,3.51
1625679000000.0,310.11,1.48
1625682600000.0,317.37,0.75
1625686200000.0,295.09,0.42
1625689800000.0,274.43,0.19
1625693400000.0,86.46,0.03
1625697000000.0,0.99,0.01
1625700600000.0,0.35,0.01
1625704200000.0,0.2,0.01
1625707800000.0,0.22,0.01
1625711400000.0,0.39,0.0
1625715000000.0,18.05,0.0
1625718600000.0,170.38,0.05
1625722200000.0,295.68,0.36
1625725800000.0,304.67,0.73
1625729400000.0,313.18,1.44
1625733000000.0,313.29,2.04
1625736600000.0,312.27,1.94
1625740200000.0,310.66,2.08
1625743800000.0,313.34,1.95
1625747400000.0,310.16,1.44
1625751000000.0,310.92,2.17
1625754600000.0,310.61,2.53
1625758200000.0,307.33,2.21
1625761800000.0,310.1,1.5
1625765400000.0,310.07,1.04
1625769000000.0,299.84,0.63
1625772600000.0,276.25,0.2
1625776200000.0,250.79,0.04
1625779800000.0,61.81,0.02
1625783400000.0,1.09,0.0
1625787000000.0,0.51,0.01
1625790600000.0,0.51,0.0
1625794200000.0,0.51,0.0
1625797800000.0,0.5,0.0
1625801400000.0,12.02,0.0
1625805000000.0,121.6,0.02
1625808600000.0,283.41,0.23
1625812200000.0,307.22,0.86
1625815800000.0,304.38,0.72
1625819400000.0,302.14,0.61
1625823000000.0,313.94,1.0
1625826600000.0,313.18,0.94
1625830200000.0,313.39,1.08
1625833800000.0,316.08,1.24
1625837400000.0,313.76,1.24
1625841000000.0,314.24,1.64
1625844600000.0,314.52,1.58
1625848200000.0,311.49,1.91
1625851800000.0,310.87,1.39
1625855400000.0,310.03,1.17
1625859000000.0,301.41,0.61
1625862600000.0,267.22,0.17
1625866200000.0,93.37,0.01
1625869800000.0,1.47,0.0
1625873400000.0,0.39,0.01
1625877000000.0,0.43,0.0
1625880600000.0,0.54,0.0
1625884200000.0,0.55,0.0
1625887800000.0,14.23,0.0
1625891400000.0,85.82,0.02
1625895000000.0,266.42,0.14
1625898600000.0,302.88,0.7
1625902200000.0,308.05,1.07
1625905800000.0,309.84,0.97
1625909400000.0,310.84,1.32
1625913000000.0,311.44,3.06
1625916600000.0,309.49,3.61
1625920200000.0,308.24,4.19
1625923800000.0,308.25,3.55
1625927400000.0,310.22,2.18
1625931000000.0,311.4,1.86
1625934600000.0,311.75,1.65
1625938200000.0,306.84,1.07
1625941800000.0,286.12,0.38
1625945400000.0,283.87,0.2
1625949000000.0,212.5,0.06
1625952600000.0,50.61,0.02
1625956200000.0,0.92,0.02
