# time,voltage,current
1631622600000.0,314.42,1.59
1631626200000.0,305.36,1.66
1631629800000.0,302.26,0.88
1631633400000.0,305.1,1.06
1631637000000.0,297.01,0.68
1631640600000.0,290.0,0.51
1631644200000.0,249.97,0.19
1631647800000.0,46.5,0.0
1631651400000.0,1.73,0.0
1631655000000.0,1.73,0.0
1631658600000.0,1.4,0.0
1631662200000.0,0.56,0.0
1631665800000.0,0.41,0.0
1631669400000.0,0.4,0.0
1631673000000.0,0.27,0.0
1631676600000.0,0.21,0.0
1631680200000.0,0.7,0.0
1631683800000.0,18.79,0.0
1631687400000.0,190.27,0.26
1631691000000.0,301.12,0.72
1631694600000.0,313.25,1.77
1631698200000.0,303.16,4.03
1631701800000.0,303.59,3.2
1631705400000.0,302.53,3.06
1631709000000.0,309.11,2.08
1631712600000.0,307.86,1.98
1631716200000.0,308.87,1.83
1631719800000.0,309.36,1.37
1631723400000.0,303.96,0.78
1631727000000.0,295.32,0.5
1631730600000.0,267.91,0.23
1631734200000.0,36.36,0.0
1631737800000.0,1.28,0.0
1631741400000.0,1.22,0.0
1631745000000.0,0.76,0.0
1631748600000.0,0.1,0.0
1631752200000.0,0.11,0.0
1631755800000.0,0.19,0.0
1631759400000.0,0.12,0.0
1631763000000.0,0.29,0.0
1631766600000.0,0.77,0.0
1631770200000.0,20.48,0.0
1631773800000.0,169.33,0.0
1631777400000.0,289.54,0.45
1631781000000.0,312.34,1.67
1631784600000.0,306.03,2.52
1631788200000.0,307.59,1.38
1631791800000.0,308.59,2.31
1631795400000.0,312.86,2.17
1631799000000.0,311.48,2.02
1631802600000.0,312.91,1.84
1631806200000.0,313.02,1.71
1631809800000.0,309.66,1.24
1631813400000.0,291.01,0.5
1631817000000.0,239.17,0.23
1631820600000.0,18.52,0.0
1631824200000.0,1.81,0.0
1631827800000.0,1.7,0.0
1631831400000.0,1.26,0.0
1631835000000.0,0.53,0.0
1631838600000.0,0.49,0.0
1631842200000.0,0.55,0.0
1631845800000.0,0.52,0.0
1631849400000.0,0.42,0.0
1631853000000.0,0.65,0.0
1631856600000.0,14.7,0.0
1631860200000.0,130.61,0.15
1631863800000.0,299.44,0.55
1631867400000.0,302.56,0.7
1631871000000.0,311.68,1.74
1631874600000.0,307.03,3.15
1631878200000.0,303.47,3.33
1631881800000.0,305.83,2.9
1631885400000.0,298.24,4.37
1631889000000.0,309.41,1.85
1631892600000.0,306.36,2.02
1631896200000.0,275.53,0.96
1631899800000.0,292.52,0.27
1631903400000.0,259.35,0.14
1631907000000.0,32.99,0.0
1631910600000.0,1.41,0.0
1631914200000.0,1.35,0.0
1631917800000.0,0.93,0.0
1631921400000.0,0.24,0.0
1631925000000.0,0.17,0.0
1631928600000.0,0.1,0.0
1631932200000.0,0.1,0.0
