# time,voltage,current
1629919800000.0,237.78,0.15
1629923400000.0,20.6,0.0
1629927000000.0,1.24,0.0
1629930600000.0,0.89,0.0
1629934200000.0,0.34,0.0
1629937800000.0,0.4,0.0
1629941400000.0,0.46,0.0
1629945000000.0,0.5,0.0
1629948600000.0,0.48,0.0
1629952200000.0,2.62,0.0
1629955800000.0,138.04,0.0
1629959400000.0,314.46,0.86
1629963000000.0,319.71,2.19
1629966600000.0,309.09,3.5
1629970200000.0,301.03,4.62
1629973800000.0,298.45,5.28
1629977400000.0,300.34,5.57
1629981000000.0,297.42,5.18
1629984600000.0,299.7,4.97
1629988200000.0,301.38,4.17
1629991800000.0,305.59,3.09
1629995400000.0,308.68,1.9
1629999000000.0,310.22,0.7
1630002600000.0,287.57,0.33
1630006200000.0,225.69,0.15
1630009800000.0,10.07,0.0
1630013400000.0,1.21,0.0
1630017000000.0,0.79,0.0
1630020600000.0,0.24,0.0
1630024200000.0,0.29,0.0
1630027800000.0,0.39,0.0
1630031400000.0,0.4,0.0
1630035000000.0,0.48,0.0
1630038600000.0,2.69,0.0
1630042200000.0,136.52,0.0
1630045800000.0,291.44,0.5
1630049400000.0,313.54,1.76
1630053000000.0,310.89,3.62
1630056600000.0,295.17,4.31
1630060200000.0,306.93,3.89
1630063800000.0,300.08,5.14
1630067400000.0,306.92,4.44
1630071000000.0,306.85,5.17
1630074600000.0,307.4,4.32
1630078200000.0,312.38,3.13
1630081800000.0,314.21,1.97
1630085400000.0,312.19,0.65
1630089000000.0,291.97,0.34
1630092600000.0,213.78,0.15
1630096200000.0,5.61,0.0
1630099800000.0,1.21,0.0
1630103400000.0,0.81,0.0
1630107000000.0,0.24,0.0
1630110600000.0,0.43,0.0
1630114200000.0,0.34,0.0
1630117800000.0,0.38,0.0
1630121400000.0,0.41,0.0
1630125000000.0,1.14,0.0
1630128600000.0,96.96,0.0
1630132200000.0,299.41,0.51
1630135800000.0,315.26,1.12
1630139400000.0,316.31,2.14
1630143000000.0,306.99,4.66
1630146600000.0,304.71,3.37
1630150200000.0,303.34,3.78
1630153800000.0,301.08,4.51
1630157400000.0,301.37,4.24
1630161000000.0,301.43,4.09
1630164600000.0,310.19,2.43
1630168200000.0,310.44,1.68
1630171800000.0,313.88,0.63
1630175400000.0,290.91,0.34
1630179000000.0,204.89,0.15
1630182600000.0,3.81,0.0
1630186200000.0,1.21,0.0
1630189800000.0,0.76,0.0
1630193400000.0,0.19,0.0
1630197000000.0,0.2,0.0
