# time,voltage,current
1636464600000.0,305.14,1.05
1636468200000.0,306.97,0.94
1636471800000.0,292.6,0.43
1636475400000.0,260.37,0.0
1636479000000.0,34.58,0.0
1636482600000.0,1.65,0.0
1636486200000.0,1.62,0.0
1636489800000.0,1.52,0.0
1636493400000.0,1.45,0.0
1636497000000.0,1.37,0.0
1636500600000.0,0.9,0.0
1636504200000.0,0.25,0.0
1636507800000.0,0.28,0.0
1636511400000.0,0.29,0.0
1636515000000.0,0.39,0.0
1636518600000.0,0.4,0.0
1636522200000.0,0.74,0.0
1636525800000.0,1.48,0.0
1636529400000.0,65.06,0.0
1636533000000.0,292.32,0.35
1636536600000.0,315.09,1.1
1636540200000.0,312.72,1.03
1636543800000.0,311.05,1.03
1636547400000.0,306.54,0.65
1636551000000.0,310.46,0.68
1636554600000.0,308.7,0.62
1636558200000.0,302.75,0.42
1636561800000.0,276.73,0.28
1636565400000.0,70.58,0.0
1636569000000.0,1.61,0.0
1636572600000.0,1.74,0.0
1636576200000.0,1.41,0.0
1636579800000.0,1.37,0.0
1636583400000.0,1.21,0.0
1636587000000.0,0.95,0.0
1636590600000.0,0.56,0.0
1636594200000.0,0.48,0.0
1636597800000.0,0.39,0.0
1636601400000.0,0.74,0.0
1636605000000.0,0.6,0.0
1636608600000.0,1.05,0.0
1636612200000.0,1.77,0.0
1636615800000.0,50.93,0.0
1636619400000.0,258.76,0.15
1636623000000.0,298.44,0.35
1636626600000.0,305.63,0.79
1636630200000.0,310.41,0.85
1636633800000.0,312.3,1.06
1636637400000.0,311.17,0.97
1636641000000.0,302.28,0.62
1636644600000.0,278.63,0.17
1636648200000.0,233.47,0.15
1636651800000.0,41.36,0.0
1636655400000.0,1.84,0.0
1636659000000.0,1.7,0.0
1636662600000.0,2.2,0.0
1636666200000.0,1.28,0.0
1636669800000.0,1.39,0.0
1636673400000.0,0.93,0.0
1636677000000.0,0.5,0.0
1636680600000.0,0.35,0.0
1636684200000.0,0.35,0.0
1636687800000.0,0.37,0.0
1636691400000.0,0.3,0.0
1636695000000.0,0.6,0.0
1636698600000.0,1.52,0.0
1636702200000.0,56.5,0.0
1636705800000.0,284.15,0.37
1636709400000.0,294.57,0.3
1636713000000.0,304.22,0.76
1636716600000.0,311.76,1.47
1636720200000.0,308.13,1.01
1636723800000.0,311.62,0.96
1636727400000.0,314.93,0.84
1636731000000.0,304.04,0.55
1636734600000.0,274.28,0.38
1636738200000.0,48.59,0.0
1636741800000.0,1.61,0.0
1636745400000.0,1.39,0.0
1636749000000.0,1.76,0.0
1636752600000.0,1.42,0.0
1636756200000.0,1.32,0.0
1636759800000.0,1.12,0.0
1636763400000.0,0.44,0.0
1636767000000.0,0.39,0.0
1636770600000.0,0.39,0.0
1636774200000.0,0.43,0.0
1636777800000.0,0.38,0.0
1636781400000.0,0.69,0.0
1636785000000.0,1.43,0.0
1636788600000.0,51.48,0.0
1636792200000.0,293.08,0.68
1636795800000.0,310.3,0.71
1636799400000.0,305.77,0.67
1636803000000.0,311.18,1.1
1636806600000.0,311.65,1.05
1636810200000.0,308.43,0.88
1636813800000.0,294.04,0.51
1636817400000.0,291.29,0.32
1636821000000.0,250.59,0.0
1636824600000.0,33.49,0.0
1636828200000.0,1.57,0.0
1636831800000.0,1.57,0.0
1636835400000.0,1.48,0.0
1636839000000.0,1.42,0.0
1636842600000.0,1.55,0.0
1636846200000.0,1.46,0.0
1636849800000.0,0.8,0.0
1636853400000.0,0.86,0.0
1636857000000.0,0.75,0.0
1636860600000.0,0.75,0.0
1636864200000.0,0.73,0.0
1636867800000.0,0.72,0.0
1636871400000.0,0.82,0.0
1636875000000.0,44.6,0.0
1636878600000.0,284.06,0.0
1636882200000.0,353.63,0.0
1636885800000.0,362.66,0.0
1636889400000.0,363.84,0.0
1636893000000.0,375.91,0.0
1636896600000.0,372.75,0.0
1636900200000.0,363.69,0.0
1636903800000.0,353.86,0.0
1636907400000.0,207.05,0.0
1636911000000.0,20.45,0.0
1636914600000.0,0.49,0.0
1636918200000.0,0.62,0.0
1636921800000.0,0.47,0.0
1636925400000.0,0.53,0.0
1636929000000.0,0.64,0.0
1636932600000.0,0.43,0.0
1636936200000.0,0.42,0.0
1636939800000.0,0.45,0.0
1636943400000.0,0.39,0.0
1636947000000.0,0.35,0.0
1636950600000.0,0.34,0.0
1636954200000.0,0.57,0.0
1636957800000.0,1.24,0.0
1636961400000.0,45.42,0.0
1636965000000.0,326.62,0.0
1636968600000.0,379.01,0.0
1636972200000.0,325.03,1.32
1636975800000.0,318.51,1.77
1636979400000.0,315.84,1.77
1636983000000.0,316.29,1.47
1636986600000.0,311.69,0.93
1636990200000.0,298.04,0.54
1636993800000.0,241.43,0.0
1636997400000.0,20.16,0.0
1637001000000.0,1.86,0.0
1637004600000.0,1.94,0.0
1637008200000.0,1.86,0.0
1637011800000.0,1.65,0.0
