# time,airtemp,celltemp
1626784200000.0,27.87,52.78
1626787800000.0,28.38,53.11
1626791400000.0,29.78,53.18
1626795000000.0,31.26,50.37
1626798600000.0,31.31,47.18
1626802200000.0,30.09,41.48
1626805800000.0,27.23,32.72
1626809400000.0,23.51,24.05
1626813000000.0,21.84,21.27
1626816600000.0,19.6,18.77
1626820200000.0,17.18,16.78
1626823800000.0,16.66,16.33
1626827400000.0,15.9,15.53
1626831000000.0,15.29,15.06
1626834600000.0,14.86,14.69
1626838200000.0,14.62,14.62
1626841800000.0,14.04,13.92
1626845400000.0,16.12,16.37
1626849000000.0,21.76,24.92
1626852600000.0,23.6,28.4
1626856200000.0,25.43,33.32
1626859800000.0,28.44,41.25
1626863400000.0,27.25,42.5
1626867000000.0,27.86,46.82
1626870600000.0,28.41,48.48
1626874200000.0,29.25,48.97
1626877800000.0,29.59,49.85
1626881400000.0,28.68,42.18
1626885000000.0,25.58,31.27
1626888600000.0,27.41,35.14
1626892200000.0,25.49,29.43
1626895800000.0,23.82,25.43
1626899400000.0,22.62,23.03
1626903000000.0,21.47,21.45
1626906600000.0,20.61,20.82
1626910200000.0,19.77,19.6
1626913800000.0,19.11,18.79
1626917400000.0,18.98,19.12
1626921000000.0,18.53,18.45
1626924600000.0,17.79,17.78
1626928200000.0,17.51,17.61
1626931800000.0,17.21,18.25
1626935400000.0,20.82,22.02
1626939000000.0,26.01,29.84
1626942600000.0,26.12,33.33
1626946200000.0,26.25,35.42
1626949800000.0,27.03,37.57
1626953400000.0,27.6,42.29
1626957000000.0,28.42,46.63
1626960600000.0,29.49,49.39
1626964200000.0,30.59,51.59
1626967800000.0,30.43,47.47
1626971400000.0,30.3,43.75
1626975000000.0,30.09,39.7
1626978600000.0,26.1,29.76
1626982200000.0,24.04,24.75
1626985800000.0,22.47,22.12
1626989400000.0,20.79,20.1
1626993000000.0,19.85,19.26
1626996600000.0,19.58,19.24
1627000200000.0,19.4,19.31
1627003800000.0,18.77,18.45
1627007400000.0,17.54,17.42
1627011000000.0,16.28,16.4
1627014600000.0,16.48,16.61
1627018200000.0,18.93,18.49
1627021800000.0,22.37,22.65
1627025400000.0,25.04,27.96
1627029000000.0,26.65,33.48
1627032600000.0,26.86,36.1
1627036200000.0,26.73,39.59
1627039800000.0,27.05,40.64
1627043400000.0,27.31,45.33
1627047000000.0,28.09,46.93
1627050600000.0,28.71,47.97
1627054200000.0,29.38,46.24
1627057800000.0,29.1,42.67
1627061400000.0,27.4,34.97
1627065000000.0,25.66,29.57
1627068600000.0,24.69,26.72
1627072200000.0,21.78,22.33
1627075800000.0,20.33,20.29
1627079400000.0,18.93,18.23
1627083000000.0,17.83,17.26
1627086600000.0,17.45,16.99
1627090200000.0,16.8,16.06
1627093800000.0,16.25,15.4
1627097400000.0,15.96,15.15
1627101000000.0,15.16,14.52
1627104600000.0,16.18,15.12
1627108200000.0,19.47,19.92
1627111800000.0,21.2,23.96
1627115400000.0,23.04,29.22
1627119000000.0,22.0,28.6
1627122600000.0,23.02,34.52
1627126200000.0,24.21,41.21
1627129800000.0,26.05,42.93
1627133400000.0,26.62,41.77
1627137000000.0,28.32,48.35
1627140600000.0,29.79,49.89
1627144200000.0,28.79,43.12
1627147800000.0,25.83,33.48
1627151400000.0,22.43,25.98
1627155000000.0,20.4,22.01
1627158600000.0,18.99,19.47
1627162200000.0,18.46,19.18
1627165800000.0,17.52,17.74
1627169400000.0,15.95,15.62
1627173000000.0,15.04,14.34
1627176600000.0,14.08,13.26
1627180200000.0,13.63,12.88
1627183800000.0,13.01,12.48
1627187400000.0,12.49,11.94
1627191000000.0,14.65,13.51
1627194600000.0,18.53,17.41
1627198200000.0,21.72,24.82
1627201800000.0,22.74,29.43
1627205400000.0,23.93,35.36
1627209000000.0,23.93,41.11
1627212600000.0,24.83,44.48
1627216200000.0,25.97,47.98
1627219800000.0,27.55,51.49
1627223400000.0,29.02,50.82
1627227000000.0,31.58,51.01
1627230600000.0,32.24,49.08
1627234200000.0,30.25,41.52
1627237800000.0,26.99,32.78
1627241400000.0,22.72,23.54
1627245000000.0,20.57,20.37
1627248600000.0,18.62,17.98
1627252200000.0,18.08,17.27
1627255800000.0,16.91,16.19
1627259400000.0,16.12,15.31
1627263000000.0,14.86,14.04
1627266600000.0,13.92,13.17
1627270200000.0,13.23,12.56
1627273800000.0,12.58,12.39
1627277400000.0,13.79,14.49
1627281000000.0,15.69,17.82
1627284600000.0,18.47,23.28
1627288200000.0,20.12,25.48
1627291800000.0,22.44,31.53
1627295400000.0,23.88,34.56
1627299000000.0,22.43,28.12
1627302600000.0,21.67,27.0
1627306200000.0,21.48,26.55
1627309800000.0,18.77,21.87
1627313400000.0,16.57,18.13
1627317000000.0,16.85,19.61
1627320600000.0,17.88,22.43
1627324200000.0,17.33,19.86
1627327800000.0,17.15,18.75
1627331400000.0,14.77,15.58
1627335000000.0,13.58,14.27
1627338600000.0,13.68,14.38
1627342200000.0,14.08,14.86
1627345800000.0,14.01,14.83
1627349400000.0,13.86,14.8
1627353000000.0,13.75,14.8
1627356600000.0,13.47,14.27
1627360200000.0,13.1,13.88
1627363800000.0,14.17,15.86
1627367400000.0,16.06,19.04
1627371000000.0,17.24,21.84
1627374600000.0,17.81,23.96
1627378200000.0,18.71,26.12
1627381800000.0,19.25,27.49
1627385400000.0,20.15,31.01
1627389000000.0,21.36,32.81
1627392600000.0,22.17,40.63
1627396200000.0,22.57,33.49
1627399800000.0,21.57,29.95
1627403400000.0,21.63,29.27
1627407000000.0,20.88,27.51
1627410600000.0,18.91,22.03
1627414200000.0,17.77,18.62
1627417800000.0,15.38,14.97
1627421400000.0,13.83,12.94
1627425000000.0,12.71,12.13
1627428600000.0,13.03,13.36
1627432200000.0,12.79,13.2
1627435800000.0,11.87,11.44
1627439400000.0,12.25,12.9
1627443000000.0,11.85,12.35
1627446600000.0,11.52,11.75
1627450200000.0,11.9,11.62
1627453800000.0,15.08,14.02
1627457400000.0,18.8,19.72
1627461000000.0,19.0,25.54
1627464600000.0,19.64,30.42
1627468200000.0,19.07,31.57
1627471800000.0,18.51,30.42
1627475400000.0,19.2,29.59
1627479000000.0,19.11,32.12
1627482600000.0,18.34,28.61
1627486200000.0,18.58,28.97
1627489800000.0,19.56,27.85
1627493400000.0,19.58,26.42
1627497000000.0,17.16,19.07
1627500600000.0,16.13,16.66
1627504200000.0,14.81,15.01
1627507800000.0,13.77,13.63
1627511400000.0,13.04,12.99
1627515000000.0,12.96,12.77
1627518600000.0,12.33,12.07
1627522200000.0,11.15,10.47
1627525800000.0,10.44,10.09
1627529400000.0,9.59,9.38
1627533000000.0,9.23,8.83
1627536600000.0,10.08,10.46
1627540200000.0,11.55,13.52
1627543800000.0,14.38,18.92
1627547400000.0,20.41,28.39
1627551000000.0,20.85,31.29
1627554600000.0,21.47,33.78
1627558200000.0,20.56,29.74
1627561800000.0,18.18,23.72
1627565400000.0,15.21,19.77
1627569000000.0,13.72,17.17
1627572600000.0,13.36,15.75
1627576200000.0,13.0,14.32
1627579800000.0,12.03,13.34
1627583400000.0,12.06,13.17
1627587000000.0,12.25,12.86
1627590600000.0,12.5,12.97
1627594200000.0,12.57,13.06
1627597800000.0,12.73,13.28
1627601400000.0,13.0,13.45
1627605000000.0,13.02,13.57
1627608600000.0,13.18,13.8
1627612200000.0,12.73,13.29
1627615800000.0,13.07,13.76
1627619400000.0,13.22,13.75
1627623000000.0,14.29,14.92
1627626600000.0,15.12,16.68
1627630200000.0,15.85,18.56
1627633800000.0,17.58,22.32
1627637400000.0,18.41,24.87
1627641000000.0,20.66,32.18
1627644600000.0,20.41,30.24
1627648200000.0,20.07,34.34
1627651800000.0,21.46,37.67
1627655400000.0,20.49,30.34
1627659000000.0,21.33,32.28
1627662600000.0,20.34,28.73
1627666200000.0,19.49,26.96
1627669800000.0,17.41,20.34
