# time,airtemp,celltemp
1636464600000.0,16.38,21.42
1636468200000.0,15.93,20.62
1636471800000.0,14.31,16.56
1636475400000.0,12.6,13.26
1636479000000.0,11.75,12.49
1636482600000.0,10.85,12.05
1636486200000.0,10.67,11.93
1636489800000.0,10.45,11.63
1636493400000.0,10.23,11.38
1636497000000.0,10.07,11.17
1636500600000.0,9.84,10.95
1636504200000.0,9.45,10.45
1636507800000.0,9.4,10.43
1636511400000.0,9.48,10.71
1636515000000.0,9.62,11.13
1636518600000.0,9.63,10.96
1636522200000.0,9.77,11.1
1636525800000.0,9.56,10.83
1636529400000.0,9.57,11.09
1636533000000.0,9.79,11.82
1636536600000.0,10.62,14.12
1636540200000.0,11.81,17.13
1636543800000.0,12.09,17.47
1636547400000.0,12.03,15.86
1636551000000.0,11.53,15.08
1636554600000.0,11.31,14.98
1636558200000.0,10.76,13.3
1636561800000.0,10.31,11.75
1636565400000.0,10.4,11.65
1636569000000.0,10.07,10.95
1636572600000.0,10.12,11.43
1636576200000.0,9.2,9.61
1636579800000.0,8.67,9.33
1636583400000.0,6.98,7.08
1636587000000.0,6.55,6.72
1636590600000.0,7.64,9.13
1636594200000.0,8.79,10.25
1636597800000.0,9.19,10.43
1636601400000.0,9.62,10.68
1636605000000.0,10.23,11.12
1636608600000.0,11.09,11.97
1636612200000.0,12.69,13.43
1636615800000.0,12.83,13.5
1636619400000.0,13.1,13.9
1636623000000.0,13.3,14.42
1636626600000.0,13.58,15.87
1636630200000.0,13.71,16.58
1636633800000.0,13.89,17.57
1636637400000.0,14.58,17.59
1636641000000.0,13.56,14.42
1636644600000.0,13.31,13.75
1636648200000.0,13.21,13.54
1636651800000.0,13.29,13.43
1636655400000.0,13.72,14.02
1636659000000.0,13.43,13.35
1636662600000.0,13.04,13.45
1636666200000.0,12.0,11.98
1636669800000.0,11.73,12.45
1636673400000.0,11.7,12.38
1636677000000.0,11.22,11.71
1636680600000.0,11.15,11.38
1636684200000.0,11.77,11.72
1636687800000.0,11.95,12.03
1636691400000.0,11.65,11.66
1636695000000.0,11.17,10.93
1636698600000.0,11.53,11.43
1636702200000.0,11.94,12.43
1636705800000.0,12.3,13.52
1636709400000.0,12.83,14.59
1636713000000.0,13.65,16.31
1636716600000.0,14.31,18.63
1636720200000.0,14.43,18.55
1636723800000.0,14.26,17.64
1636727400000.0,14.05,17.7
1636731000000.0,13.78,15.93
1636734600000.0,13.25,14.68
1636738200000.0,12.66,13.18
1636741800000.0,12.6,13.33
1636745400000.0,11.7,11.78
1636749000000.0,11.77,12.66
1636752600000.0,10.97,11.22
1636756200000.0,10.03,9.78
1636759800000.0,10.43,11.21
1636763400000.0,10.98,12.42
1636767000000.0,11.06,12.43
1636770600000.0,10.85,11.99
1636774200000.0,10.72,12.31
1636777800000.0,10.49,11.8
1636781400000.0,9.27,9.36
1636785000000.0,7.09,6.64
1636788600000.0,8.08,9.54
1636792200000.0,9.33,11.94
1636795800000.0,11.2,15.85
1636799400000.0,12.43,17.03
1636803000000.0,14.29,20.54
1636806600000.0,14.46,20.25
1636810200000.0,14.83,20.24
1636813800000.0,14.39,18.27
1636817400000.0,14.44,17.74
1636821000000.0,14.11,16.39
1636824600000.0,13.71,15.58
1636828200000.0,13.29,15.47
1636831800000.0,13.06,15.08
1636835400000.0,13.23,14.66
1636839000000.0,12.01,12.36
1636842600000.0,11.11,11.43
1636846200000.0,11.38,12.94
1636849800000.0,12.01,13.73
1636853400000.0,12.09,13.79
1636857000000.0,12.38,14.12
1636860600000.0,12.53,14.27
1636864200000.0,12.7,14.82
1636867800000.0,12.89,14.89
1636871400000.0,13.01,15.15
1636875000000.0,13.25,15.2
1636878600000.0,13.53,15.89
1636882200000.0,14.65,18.07
1636885800000.0,15.7,20.3
1636889400000.0,16.05,20.57
1636893000000.0,17.02,24.92
1636896600000.0,17.82,28.63
1636900200000.0,17.21,24.05
1636903800000.0,15.72,18.54
1636907400000.0,14.52,16.18
1636911000000.0,13.54,13.52
1636914600000.0,13.03,12.97
1636918200000.0,13.37,13.97
1636921800000.0,12.19,12.03
1636925400000.0,12.92,13.89
1636929000000.0,13.07,14.26
1636932600000.0,13.14,14.03
1636936200000.0,13.36,14.07
1636939800000.0,11.84,12.74
1636943400000.0,11.14,12.43
1636947000000.0,10.87,12.23
1636950600000.0,10.77,12.03
1636954200000.0,10.32,10.95
1636957800000.0,9.65,9.67
1636961400000.0,8.23,7.74
1636965000000.0,8.69,9.13
1636968600000.0,10.35,10.66
1636972200000.0,11.13,13.08
1636975800000.0,11.46,15.24
1636979400000.0,12.24,18.12
1636983000000.0,13.09,18.74
1636986600000.0,13.26,17.69
1636990200000.0,12.38,14.59
1636993800000.0,11.34,12.68
1636997400000.0,10.87,12.2
1637001000000.0,10.58,11.87
1637004600000.0,10.53,11.86
1637008200000.0,10.21,11.57
1637011800000.0,10.17,11.19
1637015400000.0,9.84,11.28
1637019000000.0,9.17,10.17
1637022600000.0,9.24,10.43
1637026200000.0,9.04,10.51
1637029800000.0,9.25,10.41
1637033400000.0,8.23,8.43
1637037000000.0,7.9,8.41
1637040600000.0,8.01,9.03
1637044200000.0,8.38,9.73
1637047800000.0,8.97,9.88
1637051400000.0,9.42,10.54
1637055000000.0,10.41,12.59
1637058600000.0,12.24,16.56
1637062200000.0,13.12,17.52
1637065800000.0,13.03,16.97
1637069400000.0,13.08,16.86
1637073000000.0,13.63,19.3
1637076600000.0,13.47,16.13
1637080200000.0,12.27,12.83
1637083800000.0,11.61,12.3
1637087400000.0,10.37,10.23
1637091000000.0,10.31,9.98
1637094600000.0,10.1,9.03
1637098200000.0,8.27,6.94
1637101800000.0,8.43,8.19
1637105400000.0,8.93,8.71
1637109000000.0,8.99,9.2
1637112600000.0,8.24,8.23
1637116200000.0,7.23,7.12
1637119800000.0,6.54,6.67
1637123400000.0,6.02,6.02
1637127000000.0,5.68,5.14
1637130600000.0,3.9,3.53
1637134200000.0,3.42,3.01
1637137800000.0,3.09,3.25
1637141400000.0,6.31,8.79
1637145000000.0,9.35,13.04
1637148600000.0,11.41,16.75
1637152200000.0,13.18,19.76
1637155800000.0,12.85,17.53
1637159400000.0,12.72,16.54
1637163000000.0,12.9,16.92
1637166600000.0,11.52,12.92
1637170200000.0,10.79,11.82
1637173800000.0,10.17,11.03
1637177400000.0,9.99,10.71
1637181000000.0,9.97,11.23
1637184600000.0,10.33,11.81
1637188200000.0,10.56,11.67
1637191800000.0,10.64,11.74
1637195400000.0,11.21,12.49
1637199000000.0,11.38,12.12
1637202600000.0,11.71,12.86
1637206200000.0,11.77,12.82
1637209800000.0,12.12,13.34
1637213400000.0,11.81,13.09
1637217000000.0,10.99,11.21
1637220600000.0,11.43,12.38
1637224200000.0,12.28,14.07
1637227800000.0,13.17,16.06
1637231400000.0,14.46,19.36
1637235000000.0,14.79,20.34
1637238600000.0,15.69,21.77
1637242200000.0,15.79,22.52
1637245800000.0,14.64,18.27
1637249400000.0,14.13,17.05
1637253000000.0,13.47,15.37
1637256600000.0,12.68,13.88
1637260200000.0,12.33,13.43
1637263800000.0,11.75,12.08
1637267400000.0,11.77,13.15
1637271000000.0,10.94,11.02
1637274600000.0,11.09,11.84
1637278200000.0,10.83,11.53
1637281800000.0,10.98,11.94
1637285400000.0,10.91,11.81
1637289000000.0,10.78,11.93
1637292600000.0,10.72,11.86
1637296200000.0,10.84,11.78
1637299800000.0,10.43,11.12
1637303400000.0,10.17,11.03
1637307000000.0,10.06,10.55
1637310600000.0,10.31,11.75
1637314200000.0,11.11,13.22
1637317800000.0,8.11,9.91
1637321400000.0,11.23,14.23
1637325000000.0,12.9,16.85
1637328600000.0,13.18,17.08
