# time,airtemp,celltemp
1624365000000.0,18.94,36.83
1624368600000.0,19.64,37.96
1624372200000.0,19.75,34.95
1624375800000.0,19.58,29.32
1624379400000.0,18.27,25.34
1624383000000.0,14.24,16.83
1624386600000.0,13.58,14.92
1624390200000.0,10.95,12.26
1624393800000.0,10.03,11.06
1624397400000.0,9.45,10.65
1624401000000.0,9.52,10.97
1624404600000.0,9.75,11.15
1624408200000.0,9.84,11.14
1624411800000.0,10.02,11.42
1624415400000.0,10.12,11.43
1624419000000.0,10.36,11.52
1624422600000.0,10.52,11.79
1624426200000.0,10.87,12.55
1624429800000.0,11.4,13.62
1624433400000.0,11.91,14.42
1624437000000.0,12.47,15.22
1624440600000.0,13.57,17.52
1624444200000.0,15.23,20.88
1624447800000.0,16.85,23.36
1624451400000.0,18.22,25.51
1624455000000.0,19.6,26.7
1624458600000.0,20.27,28.6
1624462200000.0,20.75,28.21
1624465800000.0,22.13,32.08
1624469400000.0,21.05,27.72
1624473000000.0,20.32,24.74
1624476600000.0,19.41,22.33
1624480200000.0,17.65,19.12
1624483800000.0,15.68,16.3
1624487400000.0,14.39,14.38
1624491000000.0,13.63,13.7
1624494600000.0,12.47,12.96
1624498200000.0,12.31,11.96
1624501800000.0,11.09,10.76
1624505400000.0,10.53,10.13
1624509000000.0,10.28,9.83
1624512600000.0,14.83,14.52
1624516200000.0,16.13,19.3
1624519800000.0,17.02,23.35
1624523400000.0,21.23,32.07
1624527000000.0,22.5,36.36
1624530600000.0,24.58,39.92
1624534200000.0,24.69,40.61
1624537800000.0,24.4,42.38
1624541400000.0,23.83,40.15
1624545000000.0,24.37,39.67
1624548600000.0,23.05,33.88
1624552200000.0,20.32,25.4
1624555800000.0,18.22,20.28
1624559400000.0,17.35,19.51
1624563000000.0,15.52,16.61
1624566600000.0,14.96,16.01
1624570200000.0,14.63,15.53
1624573800000.0,14.37,15.21
1624577400000.0,14.21,15.14
1624581000000.0,14.03,14.76
1624584600000.0,13.08,13.9
1624588200000.0,11.73,12.4
1624591800000.0,10.21,9.46
1624595400000.0,9.62,8.62
1624599000000.0,10.67,10.0
1624602600000.0,13.78,14.02
1624606200000.0,15.49,19.87
1624609800000.0,15.07,21.03
1624613400000.0,14.78,21.01
1624617000000.0,14.56,19.86
1624620600000.0,15.26,21.98
1624624200000.0,15.36,22.03
1624627800000.0,15.65,22.29
1624631400000.0,17.21,30.52
1624635000000.0,16.49,23.43
1624638600000.0,16.2,22.27
1624642200000.0,15.29,19.12
1624645800000.0,14.66,17.51
1624649400000.0,14.11,16.02
1624653000000.0,13.44,14.48
1624656600000.0,12.56,12.83
1624660200000.0,11.96,12.28
1624663800000.0,11.6,12.35
1624667400000.0,11.17,11.78
1624671000000.0,11.01,10.99
1624674600000.0,10.22,10.08
1624678200000.0,10.09,10.78
1624681800000.0,9.75,10.44
1624685400000.0,11.27,12.62
1624689000000.0,12.1,13.39
1624692600000.0,11.61,15.49
1624696200000.0,12.89,17.12
