# time,airtemp,celltemp
1634045400000.0,16.22,24.31
1634049000000.0,16.31,23.01
1634052600000.0,15.79,20.06
1634056200000.0,15.21,18.14
1634059800000.0,13.91,15.2
1634063400000.0,11.1,10.98
1634067000000.0,10.12,9.68
1634070600000.0,8.59,8.07
1634074200000.0,7.17,6.8
1634077800000.0,6.06,5.79
1634081400000.0,5.59,5.41
1634085000000.0,6.21,7.29
1634088600000.0,7.27,8.87
1634092200000.0,7.8,9.44
1634095800000.0,7.53,8.87
1634099400000.0,7.33,8.93
1634103000000.0,7.33,8.86
1634106600000.0,7.08,8.73
1634110200000.0,7.49,9.55
1634113800000.0,9.16,11.88
1634117400000.0,10.66,14.27
1634121000000.0,13.49,21.12
1634124600000.0,15.01,22.45
1634128200000.0,16.54,23.18
1634131800000.0,16.23,21.9
1634135400000.0,15.74,20.68
1634139000000.0,15.62,20.24
1634142600000.0,14.65,17.8
1634146200000.0,13.64,15.36
1634149800000.0,12.72,14.12
1634153400000.0,12.57,14.09
1634157000000.0,12.73,14.29
1634160600000.0,12.83,14.27
1634164200000.0,12.7,14.33
1634167800000.0,13.05,14.52
1634171400000.0,13.45,14.85
1634175000000.0,13.4,14.91
1634178600000.0,13.23,14.93
1634182200000.0,13.23,14.87
1634185800000.0,13.42,14.88
1634189400000.0,12.93,14.88
1634193000000.0,12.79,14.69
1634196600000.0,13.18,15.17
1634200200000.0,14.53,17.23
1634203800000.0,15.6,19.11
1634207400000.0,16.73,21.28
1634211000000.0,17.03,21.93
1634214600000.0,17.53,22.76
1634218200000.0,18.06,23.79
1634221800000.0,17.36,21.47
1634225400000.0,16.55,19.66
1634229000000.0,16.25,19.01
1634232600000.0,14.83,16.0
1634236200000.0,14.13,14.95
1634239800000.0,13.58,14.54
1634243400000.0,12.97,14.17
1634247000000.0,12.09,13.09
1634250600000.0,11.26,11.57
1634254200000.0,10.06,9.97
1634257800000.0,9.78,10.19
1634261400000.0,8.78,8.84
1634265000000.0,8.75,9.61
1634268600000.0,8.66,9.87
1634272200000.0,8.28,9.54
1634275800000.0,8.12,9.42
1634279400000.0,7.83,8.91
1634283000000.0,8.13,9.91
1634286600000.0,8.97,12.48
1634290200000.0,10.2,15.9
1634293800000.0,12.59,21.43
1634297400000.0,15.33,25.35
1634301000000.0,16.77,25.25
1634304600000.0,17.39,26.1
1634308200000.0,17.28,26.82
1634311800000.0,15.72,19.67
1634315400000.0,14.85,17.1
1634319000000.0,14.16,15.32
1634322600000.0,11.98,11.43
1634326200000.0,11.1,10.22
1634329800000.0,10.99,11.5
1634333400000.0,11.61,12.5
1634337000000.0,12.2,13.5
1634340600000.0,12.23,13.47
1634344200000.0,12.13,13.14
1634347800000.0,12.41,13.38
1634351400000.0,12.94,13.94
1634355000000.0,13.36,14.47
1634358600000.0,13.01,13.58
1634362200000.0,12.43,12.87
1634365800000.0,12.67,13.49
1634369400000.0,13.1,14.28
1634373000000.0,13.46,15.57
1634376600000.0,14.32,18.29
1634380200000.0,15.34,20.72
1634383800000.0,16.7,22.21
1634387400000.0,16.43,21.07
1634391000000.0,16.46,20.87
1634394600000.0,15.67,18.88
1634398200000.0,15.24,17.73
1634401800000.0,14.68,16.12
1634405400000.0,14.28,15.35
1634409000000.0,13.87,14.3
1634412600000.0,14.11,14.43
1634416200000.0,14.15,14.66
1634419800000.0,14.52,14.83
1634423400000.0,14.73,15.12
1634427000000.0,14.8,15.31
1634430600000.0,14.99,15.52
1634434200000.0,14.93,15.57
1634437800000.0,14.93,15.58
1634441400000.0,14.95,15.67
1634445000000.0,15.0,15.77
1634448600000.0,15.09,16.02
1634452200000.0,15.03,16.18
1634455800000.0,14.57,14.68
1634459400000.0,14.86,14.66
1634463000000.0,17.17,18.59
1634466600000.0,18.54,24.65
1634470200000.0,19.35,27.96
1634473800000.0,18.95,26.37
1634477400000.0,19.17,26.25
1634481000000.0,17.34,20.02
1634484600000.0,16.66,18.3
1634488200000.0,15.96,16.94
1634491800000.0,15.59,16.87
1634495400000.0,15.33,16.59
1634499000000.0,15.25,16.55
1634502600000.0,15.32,16.44
1634506200000.0,15.34,16.57
1634509800000.0,15.32,16.42
1634513400000.0,15.24,16.22
1634517000000.0,14.8,15.44
1634520600000.0,14.98,15.6
1634524200000.0,15.37,15.97
1634527800000.0,14.04,14.77
1634531400000.0,13.28,14.1
1634535000000.0,14.29,14.95
1634538600000.0,14.72,15.47
1634542200000.0,15.36,16.28
1634545800000.0,16.16,17.79
1634549400000.0,16.56,19.12
1634808600000.0,10.53,13.53
1634812200000.0,11.31,16.45
1634815800000.0,11.72,19.33
1634819400000.0,12.6,22.58
1634823000000.0,12.88,22.92
1634826600000.0,13.07,23.44
1634830200000.0,12.68,20.34
1634833800000.0,11.67,13.9
1634837400000.0,9.15,8.56
1634841000000.0,7.97,6.98
1634844600000.0,5.98,4.75
1634848200000.0,4.52,3.28
1634851800000.0,3.87,2.51
1634855400000.0,4.06,3.84
1634859000000.0,5.67,6.41
1634862600000.0,6.25,7.12
1634866200000.0,6.62,7.63
1634869800000.0,6.7,7.88
1634873400000.0,7.13,8.37
1634877000000.0,7.67,9.02
1634880600000.0,8.02,9.42
1634884200000.0,8.52,9.83
1634887800000.0,8.91,10.47
1634891400000.0,9.4,11.89
1634895000000.0,10.74,14.38
1634898600000.0,12.34,17.05
1634902200000.0,13.75,20.01
1634905800000.0,13.87,20.1
1634909400000.0,14.27,20.48
1634913000000.0,13.56,18.43
1634916600000.0,13.16,17.78
1634920200000.0,11.73,13.85
1634923800000.0,10.52,11.07
1634927400000.0,9.47,9.82
1634931000000.0,9.16,9.98
1634934600000.0,8.74,8.72
1634938200000.0,8.85,9.2
1634941800000.0,8.41,8.33
1634945400000.0,8.86,8.97
1634949000000.0,10.08,9.93
1634952600000.0,10.86,11.38
1634956200000.0,11.67,12.12
1634959800000.0,12.39,12.87
1634963400000.0,12.49,13.09
1634967000000.0,12.42,13.04
1634970600000.0,12.51,13.07
1634974200000.0,12.67,13.13
1634977800000.0,13.12,14.45
1634981400000.0,14.14,17.07
1634985000000.0,14.5,17.38
1634988600000.0,14.59,16.71
1634992200000.0,14.61,16.11
1634995800000.0,15.03,16.82
1634999400000.0,14.82,17.07
1635003000000.0,13.23,14.27
1635006600000.0,12.96,13.43
1635010200000.0,12.83,13.22
1635013800000.0,12.8,13.22
1635017400000.0,12.89,13.38
1635021000000.0,13.17,13.64
1635024600000.0,13.41,13.85
1635028200000.0,13.36,13.98
1635031800000.0,12.98,13.32
1635035400000.0,12.88,13.53
1635039000000.0,12.43,12.73
1635042600000.0,12.29,12.5
1635046200000.0,12.43,12.62
1635049800000.0,12.64,12.85
1635053400000.0,12.06,11.47
1635057000000.0,11.97,11.32
1635060600000.0,12.09,11.54
1635064200000.0,12.63,13.16
1635067800000.0,13.56,14.81
1635071400000.0,15.24,18.75
1635075000000.0,13.83,17.52
1635078600000.0,14.77,21.82
1635082200000.0,15.45,22.56
1635085800000.0,13.16,18.22
1635089400000.0,13.78,19.72
1635093000000.0,13.42,13.98
1635096600000.0,12.33,11.45
1635100200000.0,11.82,11.13
1635103800000.0,10.43,9.66
1635107400000.0,10.58,10.99
1635111000000.0,9.85,9.02
1635114600000.0,9.25,8.53
1635118200000.0,9.05,8.98
1635121800000.0,8.62,8.6
1635125400000.0,8.53,8.16
1635129000000.0,7.71,6.77
1635132600000.0,6.38,5.5
1635136200000.0,6.04,5.62
1635139800000.0,5.7,5.73
1635143400000.0,5.69,5.77
1635147000000.0,5.97,6.33
1635150600000.0,7.71,8.72
1635154200000.0,10.08,12.86
1635157800000.0,13.01,17.61
1635161400000.0,15.03,23.23
1635165000000.0,14.03,20.51
1635168600000.0,15.5,26.68
1635172200000.0,14.74,22.81
1635175800000.0,14.03,19.48
1635179400000.0,13.11,15.13
1635183000000.0,11.02,10.96
1635186600000.0,9.83,9.4
1635190200000.0,8.75,9.07
1635193800000.0,8.92,9.24
1635197400000.0,10.12,10.88
1635201000000.0,11.17,11.76
1635204600000.0,11.57,11.94
1635208200000.0,12.18,13.1
1635211800000.0,12.73,13.69
1635215400000.0,12.84,13.62
1635219000000.0,13.23,14.01
1635222600000.0,13.83,14.98
1635226200000.0,14.27,15.23
1635229800000.0,14.65,15.74
1635233400000.0,15.12,16.3
1635237000000.0,15.71,17.46
1635240600000.0,16.17,18.43
1635244200000.0,16.63,19.45
1635247800000.0,17.27,21.32
1635251400000.0,17.64,22.14
1635255000000.0,17.41,21.07
1635258600000.0,17.82,22.67
1635262200000.0,17.08,19.97
1635265800000.0,16.23,17.47
1635269400000.0,15.84,16.6
1635273000000.0,15.69,15.72
1635276600000.0,15.84,16.67
1635280200000.0,15.77,16.11
1635283800000.0,15.69,15.54
1635287400000.0,15.83,16.38
1635291000000.0,15.56,15.84
1635294600000.0,14.93,15.34
1635298200000.0,14.83,15.3
1635301800000.0,14.93,15.44
