# time,airtemp,celltemp
1629919800000.0,17.12,16.68
1629923400000.0,14.84,14.28
1629927000000.0,13.87,13.26
1629930600000.0,12.84,12.42
1629934200000.0,11.93,11.35
1629937800000.0,11.33,10.68
1629941400000.0,10.67,10.09
1629945000000.0,10.14,9.57
1629948600000.0,9.61,9.07
1629952200000.0,9.0,8.61
1629955800000.0,8.79,8.86
1629959400000.0,10.45,10.97
1629963000000.0,15.03,16.39
1629966600000.0,17.32,25.13
1629970200000.0,21.34,34.77
1629973800000.0,22.8,37.95
1629977400000.0,22.92,40.46
1629981000000.0,23.89,42.88
1629984600000.0,24.81,44.82
1629988200000.0,25.39,45.86
1629991800000.0,25.12,43.47
1629995400000.0,26.03,40.18
1629999000000.0,25.97,34.25
1630002600000.0,21.52,22.78
1630006200000.0,18.78,18.57
1630009800000.0,16.82,16.23
1630013400000.0,15.61,15.15
1630017000000.0,14.86,14.49
1630020600000.0,14.26,14.03
1630024200000.0,13.46,13.6
1630027800000.0,13.18,13.13
1630031400000.0,12.71,12.62
1630035000000.0,12.07,12.35
1630038600000.0,13.1,14.96
1630042200000.0,13.39,14.98
1630045800000.0,14.25,17.23
1630049400000.0,16.74,19.97
1630053000000.0,19.7,26.87
1630056600000.0,21.14,32.83
1630060200000.0,22.31,34.62
1630063800000.0,22.82,40.11
1630067400000.0,21.69,37.71
1630071000000.0,21.83,41.93
1630074600000.0,21.66,41.48
1630078200000.0,22.02,39.22
1630081800000.0,23.15,37.39
1630085400000.0,22.78,30.43
1630089000000.0,18.88,19.25
1630092600000.0,16.78,15.7
1630096200000.0,14.5,13.53
1630099800000.0,13.18,12.4
1630103400000.0,12.13,11.52
1630107000000.0,11.57,10.93
1630110600000.0,11.63,12.26
1630114200000.0,11.45,11.6
1630117800000.0,10.73,10.46
1630121400000.0,10.55,10.4
1630125000000.0,10.18,10.1
1630128600000.0,11.18,12.87
1630132200000.0,12.27,14.03
1630135800000.0,14.83,19.26
1630139400000.0,17.11,24.82
1630143000000.0,19.69,32.89
1630146600000.0,19.18,30.76
1630150200000.0,20.14,34.08
1630153800000.0,21.98,40.37
1630157400000.0,22.24,41.03
1630161000000.0,23.25,44.37
1630164600000.0,21.99,35.27
1630168200000.0,22.41,35.03
1630171800000.0,21.63,28.61
1630175400000.0,18.26,18.91
1630179000000.0,16.12,15.45
