# time,airtemp,celltemp
1631622600000.0,17.57,21.95
1631626200000.0,20.04,26.52
1631629800000.0,19.39,23.53
1631633400000.0,19.15,24.04
1631637000000.0,18.88,22.68
1631640600000.0,18.46,21.53
1631644200000.0,17.52,19.38
1631647800000.0,16.63,17.72
1631651400000.0,16.53,18.32
1631655000000.0,16.3,18.26
1631658600000.0,15.55,16.69
1631662200000.0,14.98,16.22
1631665800000.0,14.48,15.66
1631669400000.0,14.3,15.58
1631673000000.0,14.0,15.47
1631676600000.0,13.5,14.61
1631680200000.0,13.52,14.88
1631683800000.0,13.79,15.45
1631687400000.0,14.05,15.95
1631691000000.0,14.7,17.85
1631694600000.0,15.22,19.4
1631698200000.0,16.88,26.66
1631701800000.0,20.39,31.16
1631705400000.0,21.25,33.12
1631709000000.0,20.09,27.76
1631712600000.0,20.07,27.93
1631716200000.0,20.25,27.84
1631719800000.0,19.3,25.09
1631723400000.0,17.85,21.49
1631727000000.0,16.84,19.47
1631730600000.0,16.14,18.0
1631734200000.0,13.86,13.81
1631737800000.0,11.82,11.06
1631741400000.0,11.07,10.35
1631745000000.0,10.42,9.73
1631748600000.0,9.63,9.22
1631752200000.0,8.94,8.63
1631755800000.0,9.55,10.35
1631759400000.0,9.28,9.61
1631763000000.0,9.78,11.19
1631766600000.0,10.77,12.83
1631770200000.0,11.53,13.58
1631773800000.0,12.57,14.33
1631777400000.0,14.29,16.53
1631781000000.0,17.99,23.4
1631784600000.0,20.27,28.1
1631788200000.0,19.79,25.34
1631791800000.0,21.08,29.93
1631795400000.0,20.77,28.46
1631799000000.0,20.5,27.77
1631802600000.0,20.28,27.19
1631806200000.0,20.06,26.7
1631809800000.0,19.28,24.15
1631813400000.0,17.9,20.1
1631817000000.0,17.3,18.57
1631820600000.0,16.96,17.84
1631824200000.0,15.94,16.44
1631827800000.0,16.01,16.58
1631831400000.0,16.35,16.89
1631835000000.0,16.53,17.04
1631838600000.0,16.67,17.23
1631842200000.0,16.82,17.48
1631845800000.0,16.99,17.69
1631849400000.0,16.37,17.15
1631853000000.0,15.47,16.27
1631856600000.0,14.87,15.87
1631860200000.0,14.74,15.91
1631863800000.0,15.17,17.27
1631867400000.0,15.44,17.94
1631871000000.0,16.38,20.93
1631874600000.0,18.26,28.42
1631878200000.0,20.81,32.51
1631881800000.0,20.52,30.77
1631885400000.0,22.72,41.52
1631889000000.0,21.01,28.08
1631892600000.0,20.49,32.11
1631896200000.0,18.82,29.21
1631899800000.0,17.49,19.4
1631903400000.0,15.72,15.34
1631907000000.0,13.4,12.46
1631910600000.0,11.94,10.79
1631914200000.0,10.98,9.79
1631917800000.0,9.72,8.69
1631921400000.0,8.98,8.32
1631925000000.0,8.37,7.67
1631928600000.0,7.73,7.21
1631932200000.0,7.12,6.62
1631935800000.0,6.7,6.41
1631939400000.0,6.3,5.99
1631943000000.0,6.15,6.12
1631946600000.0,6.74,7.48
1631950200000.0,9.54,11.89
1631953800000.0,12.06,18.12
1631957400000.0,16.02,26.3
1631961000000.0,18.12,29.45
1631964600000.0,19.62,35.95
1631968200000.0,21.16,38.94
1631971800000.0,19.64,29.94
1631975400000.0,16.66,20.2
1631979000000.0,15.58,17.97
1631982600000.0,13.12,14.56
1631986200000.0,13.22,14.76
1631989800000.0,13.17,14.35
1631993400000.0,13.48,14.45
1631997000000.0,13.62,14.54
1632000600000.0,13.97,14.62
1632004200000.0,13.76,14.3
1632007800000.0,11.26,11.28
1632011400000.0,9.95,9.54
1632015000000.0,9.02,8.67
1632018600000.0,8.38,7.53
1632022200000.0,7.39,6.94
1632025800000.0,7.01,6.56
1632029400000.0,7.12,6.55
1632033000000.0,6.54,6.27
1632036600000.0,9.38,10.03
1632040200000.0,12.28,15.68
1632043800000.0,14.48,22.93
1632047400000.0,16.84,28.85
1632051000000.0,19.46,33.5
1632054600000.0,17.57,29.95
1632058200000.0,14.94,23.86
1632061800000.0,16.61,31.7
1632065400000.0,18.16,30.84
1632069000000.0,17.98,25.31
1632072600000.0,16.18,18.3
1632076200000.0,14.5,14.96
1632079800000.0,13.88,14.63
1632083400000.0,13.22,14.07
1632087000000.0,13.16,14.24
1632090600000.0,13.18,14.34
1632094200000.0,13.29,14.9
1632097800000.0,13.02,14.45
1632101400000.0,12.85,14.62
1632105000000.0,12.58,14.03
1632108600000.0,12.22,13.31
1632112200000.0,12.16,13.36
1632115800000.0,11.15,11.22
1632119400000.0,12.0,13.52
1632123000000.0,13.36,16.28
1632126600000.0,15.04,18.57
1632130200000.0,17.07,22.28
1632133800000.0,18.0,24.65
1632137400000.0,18.82,27.06
1632141000000.0,20.19,29.68
1632144600000.0,20.02,27.19
1632148200000.0,20.32,28.45
1632151800000.0,19.44,27.02
1632155400000.0,19.02,23.22
1632159000000.0,18.16,20.76
1632162600000.0,15.99,16.11
1632166200000.0,13.74,13.21
1632169800000.0,12.64,12.9
1632173400000.0,11.92,11.97
1632177000000.0,11.89,12.13
1632180600000.0,10.93,11.15
1632184200000.0,10.94,11.2
1632187800000.0,11.26,12.78
1632191400000.0,11.91,13.69
1632195000000.0,11.36,12.12
1632198600000.0,10.29,10.01
1632202200000.0,9.28,9.01
1632205800000.0,8.67,8.82
1632209400000.0,10.82,12.67
1632213000000.0,14.34,19.28
1632216600000.0,17.53,25.87
1632220200000.0,18.12,25.53
1632223800000.0,18.63,25.72
1632227400000.0,19.17,27.15
1632231000000.0,19.34,26.07
1632234600000.0,19.3,25.13
1632238200000.0,19.07,24.73
1632241800000.0,18.52,23.25
1632245400000.0,17.23,19.72
1632249000000.0,15.76,17.18
1632252600000.0,14.88,15.83
1632256200000.0,14.66,16.04
1632259800000.0,14.01,14.82
1632263400000.0,13.48,14.38
1632267000000.0,14.01,15.72
1632270600000.0,14.23,15.98
1632274200000.0,14.42,15.9
1632277800000.0,14.28,15.73
1632281400000.0,14.2,15.62
1632285000000.0,13.96,15.26
1632288600000.0,13.83,15.22
1632292200000.0,13.85,15.25
1632295800000.0,14.41,16.63
1632299400000.0,16.19,19.73
1632303000000.0,17.54,23.14
1632306600000.0,18.6,25.24
1632310200000.0,17.73,23.08
1632313800000.0,20.0,27.88
1632317400000.0,20.71,29.68
1632321000000.0,21.01,30.72
1632324600000.0,21.08,30.33
1632328200000.0,20.09,26.23
1632331800000.0,17.98,19.18
1632335400000.0,16.05,15.82
1632339000000.0,15.13,14.56
1632342600000.0,15.31,16.24
1632346200000.0,15.67,16.52
1632349800000.0,15.82,17.02
1632353400000.0,16.31,17.74
1632357000000.0,16.46,17.99
1632360600000.0,16.56,18.13
1632364200000.0,16.67,18.28
1632367800000.0,16.13,17.07
1632371400000.0,16.01,16.88
1632375000000.0,15.53,16.42
1632378600000.0,14.45,14.85
1632382200000.0,14.24,14.51
1632385800000.0,15.41,18.03
1632389400000.0,16.18,22.21
1632393000000.0,17.81,26.1
1632396600000.0,18.94,32.09
1632400200000.0,20.13,35.64
1632403800000.0,21.29,38.77
1632407400000.0,21.31,37.52
1632411000000.0,21.18,35.18
1632414600000.0,20.28,29.59
1632418200000.0,18.5,18.69
1632421800000.0,16.3,15.48
1632425400000.0,13.61,12.62
1632429000000.0,12.38,11.67
1632432600000.0,12.83,13.95
1632436200000.0,13.68,15.58
1632439800000.0,14.08,16.28
1632443400000.0,14.25,16.28
1632447000000.0,13.73,14.83
1632450600000.0,14.0,15.38
1632454200000.0,13.49,14.11
1632457800000.0,14.16,15.35
1632461400000.0,14.21,14.7
1632465000000.0,14.43,15.1
1632468600000.0,15.76,18.08
1632472200000.0,20.35,27.21
1632475800000.0,22.29,31.42
1632479400000.0,22.66,31.43
1632483000000.0,22.43,30.43
1632486600000.0,22.86,31.53
1632490200000.0,22.66,29.83
1632493800000.0,22.65,30.12
1632497400000.0,23.27,33.28
1632501000000.0,21.51,28.25
1632504600000.0,20.23,22.6
1632508200000.0,18.86,19.99
1632511800000.0,17.12,17.4
1632515400000.0,16.2,16.61
1632519000000.0,15.03,15.0
1632522600000.0,14.31,14.06
1632526200000.0,13.39,13.38
1632529800000.0,13.72,14.67
1632533400000.0,14.2,15.6
1632537000000.0,14.2,15.73
1632540600000.0,14.03,15.55
1632544200000.0,13.75,15.2
1632547800000.0,13.33,14.63
1632551400000.0,13.21,14.75
1632555000000.0,13.79,16.37
1632558600000.0,15.56,21.14
1632562200000.0,17.86,26.54
1632565800000.0,19.68,27.87
1632569400000.0,20.48,28.51
1632573000000.0,21.85,33.0
1632576600000.0,22.73,35.01
1632580200000.0,22.07,33.37
1632583800000.0,19.45,24.46
1632587400000.0,18.92,23.05
1632591000000.0,17.93,20.47
1632594600000.0,16.88,18.51
1632598200000.0,16.34,17.62
1632601800000.0,15.86,16.71
1632605400000.0,15.85,17.05
1632609000000.0,15.81,16.64
1632612600000.0,16.13,16.79
1632616200000.0,16.12,16.73
1632619800000.0,15.99,16.4
1632623400000.0,16.03,16.35
1632627000000.0,16.27,16.52
1632630600000.0,16.45,16.75
1632634200000.0,16.25,16.29
1632637800000.0,16.31,16.17
1632641400000.0,17.06,17.9
1632645000000.0,17.42,18.44
1632648600000.0,18.17,21.82
1632652200000.0,19.44,24.18
1632655800000.0,18.07,19.88
1632659400000.0,17.41,19.6
1632663000000.0,17.39,19.29
1632666600000.0,16.56,19.19
1632670200000.0,14.37,16.12
1632673800000.0,13.35,14.9
1632677400000.0,12.93,14.51
1632681000000.0,12.38,13.36
1632684600000.0,11.75,12.7
1632688200000.0,11.65,12.49
1632691800000.0,11.81,12.65
1632695400000.0,11.63,12.35
1632699000000.0,11.45,12.32
1632702600000.0,11.32,11.89
1632706200000.0,10.94,11.65
1632709800000.0,10.15,10.67
1632713400000.0,8.59,7.88
1632717000000.0,7.37,6.91
1632720600000.0,6.82,6.27
1632724200000.0,7.33,7.59
1632727800000.0,8.61,9.08
