# time, west PV power
1629203400000.00,1063.08
1629207000000.00,898.01
1629210600000.00,899.75
1629214200000.00,843.98
1629217800000.00,596.24
1629221400000.00,300.58
1629225000000.00,154.70
1629228600000.00,19.69
1629232200000.00,0.00
1629235800000.00,0.00
1629239400000.00,0.00
1629243000000.00,0.00
1629246600000.00,0.00
1629250200000.00,0.00
1629253800000.00,0.00
1629257400000.00,0.00
1629261000000.00,0.00
1629264600000.00,12.84
1629268200000.00,166.22
1629271800000.00,378.79
1629275400000.00,694.51
1629279000000.00,600.54
1629282600000.00,656.89
1629286200000.00,892.98
1629289800000.00,1134.12
1629293400000.00,1324.84
1629297000000.00,1364.09
1629300600000.00,1072.41
1629304200000.00,539.41
1629307800000.00,305.21
1629311400000.00,92.90
1629315000000.00,12.56
1629318600000.00,0.25
1629322200000.00,0.00
1629325800000.00,0.00
1629329400000.00,0.00
1629333000000.00,0.01
1629336600000.00,0.00
1629340200000.00,0.00
1629343800000.00,0.00
1629347400000.00,0.00
1629351000000.00,9.43
1629354600000.00,91.33
1629358200000.00,644.57
1629361800000.00,620.15
1629365400000.00,1089.28
1629369000000.00,960.68
1629372600000.00,1109.84
1629376200000.00,1114.36
1629379800000.00,1380.30
1629383400000.00,1517.91
1629387000000.00,607.25
1629390600000.00,502.46
1629394200000.00,231.71
1629397800000.00,165.61
1629401400000.00,24.71
1629405000000.00,0.36
1629408600000.00,0.00
1629412200000.00,0.00
1629415800000.00,0.00
1629419400000.00,0.00
1629423000000.00,0.00
1629426600000.00,0.01
1629430200000.00,0.00
1629433800000.00,0.00
1629437400000.00,0.81
1629441000000.00,71.70
1629444600000.00,152.89
1629448200000.00,207.61
1629451800000.00,240.32
1629455400000.00,357.63
1629459000000.00,659.21
1629462600000.00,537.18
1629466200000.00,502.07
1629469800000.00,536.46
1629473400000.00,541.20
1629477000000.00,549.18
1629480600000.00,396.34
1629484200000.00,190.94
1629487800000.00,27.97
1629491400000.00,0.37
1629495000000.00,0.00
1629498600000.00,0.00
1629502200000.00,0.00
1629505800000.00,0.00
1629509400000.00,0.00
