# time, west PV power
1627605000000.00,0.00
1627608600000.00,0.00
1627612200000.00,0.00
1627615800000.00,0.00
1627619400000.00,0.00
1627623000000.00,53.72
1627626600000.00,149.11
1627630200000.00,281.91
1627633800000.00,493.26
1627637400000.00,824.36
1627641000000.00,1380.34
1627644600000.00,1117.59
1627648200000.00,1626.24
1627651800000.00,1422.76
1627655400000.00,923.25
1627659000000.00,903.91
1627662600000.00,736.37
1627666200000.00,507.65
1627669800000.00,197.35
1627673400000.00,42.96
1627677000000.00,5.30
1627680600000.00,0.00
1627684200000.00,0.00
1627687800000.00,0.00
1627691400000.00,0.00
1627695000000.00,0.00
1627698600000.00,0.00
1627702200000.00,0.00
1627705800000.00,0.00
1627709400000.00,5.96
1627713000000.00,130.49
1627716600000.00,281.58
1627720200000.00,503.12
1627723800000.00,774.69
1627727400000.00,1140.52
1627731000000.00,1364.24
1627734600000.00,1366.53
1627738200000.00,1083.61
1627741800000.00,704.97
1627745400000.00,838.55
1627749000000.00,821.63
1627752600000.00,393.23
1627756200000.00,180.38
1627759800000.00,68.54
1627763400000.00,8.26
1627767000000.00,0.00
1627770600000.00,0.00
1627774200000.00,0.00
1627777800000.00,0.00
1627781400000.00,0.00
1627785000000.00,0.00
1627788600000.00,0.00
1627792200000.00,0.48
1627795800000.00,50.94
1627799400000.00,258.29
1627803000000.00,265.28
1627806600000.00,513.19
1627810200000.00,734.49
1627813800000.00,888.37
1627817400000.00,809.55
1627821000000.00,681.27
1627824600000.00,758.04
1627828200000.00,889.21
1627831800000.00,843.96
1627835400000.00,622.38
1627839000000.00,368.45
1627842600000.00,252.83
1627846200000.00,73.45
1627849800000.00,5.06
1627853400000.00,0.00
1627857000000.00,0.00
1627860600000.00,0.00
1627864200000.00,0.00
1627867800000.00,0.00
1627871400000.00,0.00
1627875000000.00,0.00
1627878600000.00,0.00
1627882200000.00,27.32
1627885800000.00,218.76
1627889400000.00,832.92
1627893000000.00,694.75
1627896600000.00,599.79
1627900200000.00,542.41
1627903800000.00,357.05
1627907400000.00,405.20
1627911000000.00,346.90
1627914600000.00,435.11
1627918200000.00,412.39
1627921800000.00,483.94
1627925400000.00,323.51
1627929000000.00,130.95
1627932600000.00,43.47
1627936200000.00,3.31
1627939800000.00,0.00
1627943400000.00,0.00
1627947000000.00,0.00
1627950600000.00,0.00
1627954200000.00,0.00
1627957800000.00,0.00
1627961400000.00,0.00
1627965000000.00,0.00
1627968600000.00,19.88
1627972200000.00,61.42
1627975800000.00,391.20
1627979400000.00,618.24
1627983000000.00,394.87
1627986600000.00,698.96
1627990200000.00,710.10
1627993800000.00,999.43
1627997400000.00,1468.80
1628001000000.00,1425.08
1628004600000.00,1188.13
1628008200000.00,614.15
1628011800000.00,276.04
1628015400000.00,141.74
1628019000000.00,52.71
1628022600000.00,7.11
1628026200000.00,0.00
1628029800000.00,0.00
1628033400000.00,0.00
1628037000000.00,0.00
1628040600000.00,0.00
1628044200000.00,0.00
1628047800000.00,0.00
1628051400000.00,0.00
1628055000000.00,53.50
1628058600000.00,547.11
1628062200000.00,955.54
1628065800000.00,1031.90
1628069400000.00,963.85
1628073000000.00,1041.22
1628076600000.00,766.38
1628080200000.00,903.43
1628083800000.00,886.30
1628087400000.00,920.72
1628091000000.00,516.75
1628094600000.00,455.69
1628098200000.00,417.69
1628101800000.00,202.20
1628105400000.00,63.95
1628109000000.00,1.41
1628112600000.00,0.00
1628116200000.00,0.00
1628119800000.00,0.00
1628123400000.00,0.00
1628127000000.00,0.00
1628130600000.00,0.00
1628134200000.00,0.00
1628137800000.00,0.00
1628141400000.00,21.33
1628145000000.00,240.42
1628148600000.00,365.10
1628152200000.00,617.09
1628155800000.00,527.52
1628159400000.00,1382.56
1628163000000.00,674.42
1628166600000.00,1174.13
1628170200000.00,1407.52
1628173800000.00,1346.53
1628177400000.00,813.67
1628181000000.00,939.90
1628184600000.00,462.91
1628188200000.00,206.81
1628191800000.00,57.75
1628195400000.00,2.68
1628199000000.00,0.00
1628202600000.00,0.01
1628206200000.00,0.00
