# time, west PV power
1631622600000.00,499.93
1631626200000.00,506.90
1631629800000.00,265.99
1631633400000.00,323.41
1631637000000.00,201.97
1631640600000.00,147.90
1631644200000.00,47.49
1631647800000.00,0.00
1631651400000.00,0.00
1631655000000.00,0.00
1631658600000.00,0.00
1631662200000.00,0.00
1631665800000.00,0.00
1631669400000.00,0.00
1631673000000.00,0.00
1631676600000.00,0.00
1631680200000.00,0.00
1631683800000.00,0.00
1631687400000.00,49.47
1631691000000.00,216.81
1631694600000.00,554.45
1631698200000.00,1221.73
1631701800000.00,971.49
1631705400000.00,925.74
1631709000000.00,642.95
1631712600000.00,609.56
1631716200000.00,565.23
1631719800000.00,423.82
1631723400000.00,237.09
1631727000000.00,147.66
1631730600000.00,61.62
1631734200000.00,0.00
1631737800000.00,0.00
1631741400000.00,0.00
1631745000000.00,0.00
1631748600000.00,0.00
1631752200000.00,0.00
1631755800000.00,0.00
1631759400000.00,0.00
1631763000000.00,0.00
1631766600000.00,0.00
1631770200000.00,0.00
1631773800000.00,0.00
1631777400000.00,130.29
1631781000000.00,521.61
1631784600000.00,771.20
1631788200000.00,424.47
1631791800000.00,712.84
1631795400000.00,678.91
1631799000000.00,629.19
1631802600000.00,575.75
1631806200000.00,535.26
1631809800000.00,383.98
1631813400000.00,145.50
1631817000000.00,55.01
1631820600000.00,0.00
1631824200000.00,0.00
1631827800000.00,0.00
1631831400000.00,0.00
1631835000000.00,0.00
1631838600000.00,0.00
1631842200000.00,0.00
1631845800000.00,0.00
1631849400000.00,0.00
1631853000000.00,0.00
1631856600000.00,0.00
1631860200000.00,19.59
1631863800000.00,164.69
1631867400000.00,211.79
1631871000000.00,542.32
1631874600000.00,967.14
1631878200000.00,1010.56
1631881800000.00,886.91
1631885400000.00,1303.31
1631889000000.00,572.41
1631892600000.00,618.85
1631896200000.00,264.51
1631899800000.00,78.98
1631903400000.00,36.31
1631907000000.00,0.00
1631910600000.00,0.00
1631914200000.00,0.00
1631917800000.00,0.00
1631921400000.00,0.00
1631925000000.00,0.00
1631928600000.00,0.00
1631932200000.00,0.00
1631935800000.00,0.00
1631939400000.00,0.00
1631943000000.00,0.00
1631946600000.00,174.92
1631950200000.00,673.54
1631953800000.00,1056.53
1631957400000.00,1233.43
1631961000000.00,1105.58
1631964600000.00,1617.79
1631968200000.00,1296.02
1631971800000.00,689.07
1631975400000.00,339.65
1631979000000.00,206.54
