# time, west PV power
1634045400000.00,585.49
1634049000000.00,415.87
1634052600000.00,191.27
1634056200000.00,117.44
1634059800000.00,0.00
1634063400000.00,0.00
1634067000000.00,0.00
1634070600000.00,0.00
1634074200000.00,0.00
1634077800000.00,0.00
1634081400000.00,0.00
1634085000000.00,0.00
1634088600000.00,0.00
1634092200000.00,0.00
1634095800000.00,0.00
1634099400000.00,0.00
1634103000000.00,0.00
1634106600000.00,0.00
1634110200000.00,78.68
1634113800000.00,535.81
1634117400000.00,681.83
1634121000000.00,667.84
1634124600000.00,395.52
1634128200000.00,404.74
1634131800000.00,351.12
1634135400000.00,276.31
1634139000000.00,253.63
1634142600000.00,145.22
1634146200000.00,0.00
1634149800000.00,0.00
1634153400000.00,0.00
1634157000000.00,0.00
1634160600000.00,0.00
1634164200000.00,0.00
1634167800000.00,0.00
1634171400000.00,0.00
1634175000000.00,0.00
1634178600000.00,0.00
1634182200000.00,0.00
1634185800000.00,0.00
1634189400000.00,0.00
1634193000000.00,0.00
1634196600000.00,30.68
1634200200000.00,149.69
1634203800000.00,209.92
1634207400000.00,307.28
1634211000000.00,342.01
1634214600000.00,363.25
1634218200000.00,400.65
1634221800000.00,245.37
1634225400000.00,187.59
1634229000000.00,122.23
1634232600000.00,33.21
1634236200000.00,0.00
1634239800000.00,0.00
1634243400000.00,0.00
1634247000000.00,0.00
1634250600000.00,0.00
1634254200000.00,0.00
1634257800000.00,0.00
1634261400000.00,0.00
1634265000000.00,0.00
1634268600000.00,0.00
1634272200000.00,0.00
1634275800000.00,0.00
1634279400000.00,0.00
1634283000000.00,37.84
1634286600000.00,218.32
1634290200000.00,312.25
1634293800000.00,512.73
1634297400000.00,553.64
1634301000000.00,503.79
1634304600000.00,621.74
1634308200000.00,593.70
1634311800000.00,257.81
1634315400000.00,84.41
1634319000000.00,33.67
1634322600000.00,0.00
1634326200000.00,0.00
1634329800000.00,0.00
1634333400000.00,0.00
1634337000000.00,0.00
1634340600000.00,0.00
1634344200000.00,0.00
1634347800000.00,0.00
1634351400000.00,0.00
1634355000000.00,0.00
1634358600000.00,0.00
1634362200000.00,0.00
