# time, west PV power
1624365000000.00,1763.82
1624368600000.00,1536.87
1624372200000.00,1327.58
1624375800000.00,942.95
1624379400000.00,729.43
1624383000000.00,356.77
1624386600000.00,279.49
1624390200000.00,102.24
1624393800000.00,24.04
1624397400000.00,0.92
1624401000000.00,0.00
1624404600000.00,0.00
1624408200000.00,0.00
1624411800000.00,0.00
1624415400000.00,0.00
1624419000000.00,0.00
1624422600000.00,1.53
1624426200000.00,54.20
1624429800000.00,119.32
1624433400000.00,192.87
1624437000000.00,250.27
1624440600000.00,390.79
1624444200000.00,522.82
1624447800000.00,590.25
1624451400000.00,654.32
1624455000000.00,690.68
1624458600000.00,779.62
1624462200000.00,714.28
1624465800000.00,784.13
1624469400000.00,498.02
1624473000000.00,295.31
1624476600000.00,204.52
1624480200000.00,52.25
1624483800000.00,1.23
1624487400000.00,0.01
1624491000000.00,0.00
1624494600000.00,0.00
1624498200000.00,0.00
1624501800000.00,0.00
1624505400000.00,0.00
1624509000000.00,40.92
1624512600000.00,462.82
1624516200000.00,824.29
1624519800000.00,720.52
1624523400000.00,1255.96
1624527000000.00,1434.67
1624530600000.00,1391.55
1624534200000.00,1379.17
1624537800000.00,1712.53
1624541400000.00,1495.97
1624545000000.00,1345.83
1624548600000.00,883.63
1624552200000.00,423.08
1624555800000.00,179.92
1624559400000.00,120.45
1624563000000.00,20.05
1624566600000.00,17.22
1624570200000.00,1.94
1624573800000.00,0.01
1624577400000.00,0.00
1624581000000.00,0.00
1624584600000.00,0.00
1624588200000.00,0.00
1624591800000.00,0.00
1624595400000.00,32.49
1624599000000.00,236.06
1624602600000.00,963.85
1624606200000.00,1397.15
1624609800000.00,1133.21
1624613400000.00,867.74
1624617000000.00,645.42
1624620600000.00,847.81
1624624200000.00,770.19
1624627800000.00,818.32
1624631400000.00,1291.57
1624635000000.00,707.76
1624638600000.00,666.76
1624642200000.00,389.06
1624645800000.00,269.51
1624649400000.00,131.19
1624653000000.00,34.90
1624656600000.00,1.30
1624660200000.00,0.00
1624663800000.00,0.00
1624667400000.00,0.00
1624671000000.00,0.00
1624674600000.00,0.00
1624678200000.00,0.00
1624681800000.00,13.03
1624685400000.00,331.18
1624689000000.00,479.76
1624692600000.00,392.16
1624696200000.00,496.41
1624699800000.00,979.52
1624703400000.00,731.33
1624707000000.00,661.74
1624710600000.00,857.04
1624714200000.00,1826.49
1624717800000.00,1053.83
1624721400000.00,947.84
1624725000000.00,749.39
1624728600000.00,667.06
1624732200000.00,311.41
1624735800000.00,103.21
1624739400000.00,29.74
1624743000000.00,1.12
1624746600000.00,0.02
1624750200000.00,0.00
1624753800000.00,0.00
1624757400000.00,0.00
1624761000000.00,0.00
1624764600000.00,0.00
1624768200000.00,30.78
1624771800000.00,421.92
1624775400000.00,844.67
1624779000000.00,1200.28
1624782600000.00,1631.57
1624786200000.00,1907.64
1624789800000.00,2076.38
1624793400000.00,1923.28
1624797000000.00,1649.05
1624800600000.00,1556.45
1624804200000.00,1484.22
1624807800000.00,1243.08
1624811400000.00,892.29
1624815000000.00,677.58
1624818600000.00,305.46
1624822200000.00,104.78
1624825800000.00,28.33
1624829400000.00,1.02
1624833000000.00,0.01
1624836600000.00,0.00
1624840200000.00,0.00
1624843800000.00,0.00
1624847400000.00,0.00
1624851000000.00,0.00
1624854600000.00,11.42
1624858200000.00,97.16
