# time, west PV power
1636464600000.00,320.40
1636468200000.00,288.55
1636471800000.00,125.82
1636475400000.00,0.00
1636479000000.00,0.00
1636482600000.00,0.00
1636486200000.00,0.00
1636489800000.00,0.00
1636493400000.00,0.00
1636497000000.00,0.00
1636500600000.00,0.00
1636504200000.00,0.00
1636507800000.00,0.00
1636511400000.00,0.00
1636515000000.00,0.00
1636518600000.00,0.00
1636522200000.00,0.00
1636525800000.00,0.00
1636529400000.00,0.00
1636533000000.00,102.31
1636536600000.00,346.60
1636540200000.00,322.10
1636543800000.00,320.38
1636547400000.00,199.25
1636551000000.00,211.11
1636554600000.00,191.39
1636558200000.00,127.16
1636561800000.00,77.48
1636565400000.00,0.00
1636569000000.00,0.00
1636572600000.00,0.00
1636576200000.00,0.00
1636579800000.00,0.00
1636583400000.00,0.00
1636587000000.00,0.00
1636590600000.00,0.00
1636594200000.00,0.00
1636597800000.00,0.00
1636601400000.00,0.00
1636605000000.00,0.00
1636608600000.00,0.00
1636612200000.00,0.00
1636615800000.00,0.00
1636619400000.00,38.81
1636623000000.00,104.45
1636626600000.00,241.45
1636630200000.00,263.85
1636633800000.00,331.04
1636637400000.00,301.83
1636641000000.00,187.41
1636644600000.00,47.37
1636648200000.00,35.02
1636651800000.00,0.00
1636655400000.00,0.00
1636659000000.00,0.00
1636662600000.00,0.00
1636666200000.00,0.00
1636669800000.00,0.00
1636673400000.00,0.00
1636677000000.00,0.00
1636680600000.00,0.00
1636684200000.00,0.00
1636687800000.00,0.00
1636691400000.00,0.00
1636695000000.00,0.00
1636698600000.00,0.00
1636702200000.00,0.00
1636705800000.00,105.14
1636709400000.00,88.37
1636713000000.00,231.21
1636716600000.00,458.29
1636720200000.00,311.21
1636723800000.00,299.16
1636727400000.00,264.54
1636731000000.00,167.22
1636734600000.00,104.23
1636738200000.00,0.00
1636741800000.00,0.00
1636745400000.00,0.00
1636749000000.00,0.00
1636752600000.00,0.00
1636756200000.00,0.00
1636759800000.00,0.00
1636763400000.00,0.00
1636767000000.00,0.00
1636770600000.00,0.00
1636774200000.00,0.00
1636777800000.00,0.00
1636781400000.00,0.00
1636785000000.00,0.00
1636788600000.00,0.00
1636792200000.00,199.29
1636795800000.00,220.31
1636799400000.00,204.87
1636803000000.00,342.30
1636806600000.00,327.23
1636810200000.00,271.42
1636813800000.00,149.96
1636817400000.00,93.21
1636821000000.00,0.00
1636824600000.00,0.00
1636828200000.00,0.00
1636831800000.00,0.00
1636835400000.00,0.00
1636839000000.00,0.00
1636842600000.00,0.00
1636846200000.00,0.00
1636849800000.00,0.00
1636853400000.00,0.00
1636857000000.00,0.00
1636860600000.00,0.00
1636864200000.00,0.00
1636867800000.00,0.00
1636871400000.00,0.00
1636875000000.00,0.00
1636878600000.00,0.00
1636882200000.00,0.00
1636885800000.00,0.00
1636889400000.00,0.00
1636893000000.00,0.00
1636896600000.00,0.00
1636900200000.00,0.00
1636903800000.00,0.00
1636907400000.00,0.00
1636911000000.00,0.00
1636914600000.00,0.00
1636918200000.00,0.00
1636921800000.00,0.00
1636925400000.00,0.00
1636929000000.00,0.00
1636932600000.00,0.00
1636936200000.00,0.00
1636939800000.00,0.00
1636943400000.00,0.00
1636947000000.00,0.00
1636950600000.00,0.00
1636954200000.00,0.00
1636957800000.00,0.00
1636961400000.00,0.00
1636965000000.00,0.00
1636968600000.00,0.00
1636972200000.00,429.04
1636975800000.00,563.76
1636979400000.00,559.04
1636983000000.00,464.95
1636986600000.00,289.87
1636990200000.00,160.94
1636993800000.00,0.00
1636997400000.00,0.00
1637001000000.00,0.00
1637004600000.00,0.00
1637008200000.00,0.00
1637011800000.00,0.00
1637015400000.00,0.00
1637019000000.00,0.00
1637022600000.00,0.00
1637026200000.00,0.00
1637029800000.00,0.00
1637033400000.00,0.00
1637037000000.00,0.00
1637040600000.00,0.00
1637044200000.00,0.00
1637047800000.00,0.00
1637051400000.00,51.28
1637055000000.00,178.56
1637058600000.00,495.44
1637062200000.00,308.56
1637065800000.00,350.55
1637069400000.00,321.44
1637073000000.00,261.72
1637076600000.00,148.90
1637080200000.00,0.00
1637083800000.00,0.00
1637087400000.00,0.00
1637091000000.00,0.00
1637094600000.00,0.00
1637098200000.00,0.00
1637101800000.00,0.00
1637105400000.00,0.00
1637109000000.00,0.00
1637112600000.00,0.00
1637116200000.00,0.00
1637119800000.00,0.00
1637123400000.00,0.00
1637127000000.00,0.00
1637130600000.00,0.00
1637134200000.00,0.00
1637137800000.00,184.61
1637141400000.00,266.28
1637145000000.00,272.27
1637148600000.00,413.82
1637152200000.00,465.08
1637155800000.00,281.10
1637159400000.00,209.17
1637163000000.00,199.65
1637166600000.00,0.00
1637170200000.00,0.00
1637173800000.00,0.00
1637177400000.00,0.00
1637181000000.00,0.00
1637184600000.00,0.00
1637188200000.00,0.00
1637191800000.00,0.00
1637195400000.00,0.00
1637199000000.00,0.00
1637202600000.00,0.00
1637206200000.00,0.00
1637209800000.00,0.00
1637213400000.00,0.00
1637217000000.00,0.00
1637220600000.00,0.00
1637224200000.00,63.58
1637227800000.00,253.61
1637231400000.00,348.44
1637235000000.00,418.80
1637238600000.00,442.19
1637242200000.00,468.57
1637245800000.00,269.14
1637249400000.00,213.90
1637253000000.00,56.09
1637256600000.00,0.00
