# time,irradiance west
1632576600000.0,423.1
1632580200000.0,301.76
1632583800000.0,135.19
1632587400000.0,96.75
1632591000000.0,28.3
1632594600000.0,1.51
1632598200000.0,0.01
1632601800000.0,0.02
1632605400000.0,0.02
1632609000000.0,0.02
1632612600000.0,0.03
1632616200000.0,0.01
1632619800000.0,0.01
1632623400000.0,0.03
1632627000000.0,0.01
1632630600000.0,0.04
1632634200000.0,0.03
1632637800000.0,4.84
1632641400000.0,50.32
1632645000000.0,76.43
1632648600000.0,196.44
1632652200000.0,210.6
1632655800000.0,145.04
1632659400000.0,173.12
1632663000000.0,136.37
1632666600000.0,99.59
1632670200000.0,58.43
1632673800000.0,42.09
1632677400000.0,26.81
1632681000000.0,2.22
1632684600000.0,0.04
1632688200000.0,0.01
1632691800000.0,0.0
1632695400000.0,0.0
1632699000000.0,0.01
1632702600000.0,0.01
1632706200000.0,0.03
1632709800000.0,0.03
1632713400000.0,0.03
1632717000000.0,0.0
1632720600000.0,0.02
1632724200000.0,15.41
1632727800000.0,42.75
1632731400000.0,193.84
1632735000000.0,305.02
1632738600000.0,320.54
1632742200000.0,365.92
1632745800000.0,366.19
1632749400000.0,440.7
1632753000000.0,536.93
1632756600000.0,331.66
1632760200000.0,183.86
1632763800000.0,30.77
1632767400000.0,4.42
1632771000000.0,0.0
1632774600000.0,0.01
1632778200000.0,0.0
1632781800000.0,0.01
1632785400000.0,0.01
1632789000000.0,0.02
1632792600000.0,0.01
1632796200000.0,0.0
1632799800000.0,0.01
1632803400000.0,0.02
1632807000000.0,0.01
1632810600000.0,6.49
1632814200000.0,27.97
1632817800000.0,95.32
1632821400000.0,217.12
1632825000000.0,287.8
1632828600000.0,437.56
1632832200000.0,377.05
1632835800000.0,282.16
1632839400000.0,389.34
1632843000000.0,182.62
1632846600000.0,176.72
1632850200000.0,27.45
1632853800000.0,4.52
1632857400000.0,0.01
1632861000000.0,0.0
1632864600000.0,0.01
1632868200000.0,0.02
1632871800000.0,0.01
1632875400000.0,0.0
1632879000000.0,0.0
1632882600000.0,0.01
1632886200000.0,0.0
1632889800000.0,0.01
1632893400000.0,0.01
1632897000000.0,6.39
1632900600000.0,34.6
1632904200000.0,112.23
1632907800000.0,258.67
1632911400000.0,404.8
1632915000000.0,326.5
1632918600000.0,391.68
1632922200000.0,357.08
1632925800000.0,268.97
1632929400000.0,137.43
1632933000000.0,48.04
1632936600000.0,9.67
1632940200000.0,0.42
1632943800000.0,0.0
1632947400000.0,0.02
1632951000000.0,0.01
1632954600000.0,0.01
1632958200000.0,0.01
1632961800000.0,0.0
