# time,irradiance west
1624365000000.0,734.23
1624368600000.0,731.73
1624372200000.0,600.96
1624375800000.0,399.51
1624379400000.0,289.75
1624383000000.0,132.53
1624386600000.0,106.75
1624390200000.0,40.67
1624393800000.0,10.71
1624397400000.0,0.36
1624401000000.0,0.03
1624404600000.0,0.01
1624408200000.0,0.0
1624411800000.0,0.01
1624415400000.0,0.0
1624419000000.0,0.06
1624422600000.0,4.21
1624426200000.0,26.07
1624429800000.0,47.38
1624433400000.0,72.46
1624437000000.0,96.14
1624440600000.0,152.54
1624444200000.0,208.18
1624447800000.0,232.33
1624451400000.0,259.67
1624455000000.0,275.61
1624458600000.0,314.06
1624462200000.0,288.68
1624465800000.0,365.53
1624469400000.0,221.6
1624473000000.0,127.14
1624476600000.0,89.88
1624480200000.0,25.58
1624483800000.0,1.09
1624487400000.0,0.03
1624491000000.0,0.03
1624494600000.0,0.03
1624498200000.0,0.03
1624501800000.0,0.01
1624505400000.0,0.18
1624509000000.0,9.22
1624512600000.0,44.78
1624516200000.0,145.52
1624519800000.0,213.8
1624523400000.0,394.31
1624527000000.0,499.56
1624530600000.0,517.8
1624534200000.0,546.72
1624537800000.0,737.08
1624541400000.0,658.2
1624545000000.0,617.4
1624548600000.0,391.15
1624552200000.0,167.06
1624555800000.0,70.53
1624559400000.0,48.82
1624563000000.0,9.92
1624566600000.0,7.41
1624570200000.0,0.56
1624573800000.0,0.01
1624577400000.0,0.02
1624581000000.0,0.01
1624584600000.0,0.0
1624588200000.0,0.0
1624591800000.0,0.22
1624595400000.0,9.16
1624599000000.0,29.59
1624602600000.0,126.19
1624606200000.0,320.7
1624609800000.0,327.64
1624613400000.0,298.64
1624617000000.0,243.66
1624620600000.0,313.62
1624624200000.0,300.67
1624627800000.0,313.42
1624631400000.0,587.37
1624635000000.0,287.57
1624638600000.0,291.1
1624642200000.0,147.07
1624645800000.0,98.13
1624649400000.0,50.79
1624653000000.0,16.28
1624656600000.0,1.07
1624660200000.0,0.01
1624663800000.0,0.01
1624667400000.0,0.03
1624671000000.0,0.02
1624674600000.0,0.0
1624678200000.0,0.13
1624681800000.0,7.5
1624685400000.0,56.03
1624689000000.0,84.37
1624692600000.0,146.6
1624696200000.0,185.88
1624699800000.0,351.61
1624703400000.0,280.04
1624707000000.0,251.8
1624710600000.0,332.86
1624714200000.0,796.22
1624717800000.0,450.64
1624721400000.0,431.55
1624725000000.0,343.94
1624728600000.0,393.37
1624732200000.0,245.55
1624735800000.0,46.5
1624739400000.0,15.22
1624743000000.0,0.78
