# time,irradiance west
1636464600000.0,125.39
1636468200000.0,119.21
1636471800000.0,43.68
1636475400000.0,9.22
1636479000000.0,0.11
1636482600000.0,0.01
1636486200000.0,0.02
1636489800000.0,0.01
1636493400000.0,0.0
1636497000000.0,0.01
1636500600000.0,0.0
1636504200000.0,0.02
1636507800000.0,0.03
1636511400000.0,0.01
1636515000000.0,0.03
1636518600000.0,0.02
1636522200000.0,0.0
1636525800000.0,0.02
1636529400000.0,1.57
1636533000000.0,29.91
1636536600000.0,90.66
1636540200000.0,119.28
1636543800000.0,125.88
1636547400000.0,76.7
1636551000000.0,82.31
1636554600000.0,72.24
1636558200000.0,53.81
1636561800000.0,18.24
1636565400000.0,0.42
1636569000000.0,0.0
1636572600000.0,0.0
1636576200000.0,0.0
1636579800000.0,0.02
1636583400000.0,0.0
1636587000000.0,0.01
1636590600000.0,0.02
1636594200000.0,0.02
1636597800000.0,0.0
1636601400000.0,0.01
1636605000000.0,0.01
1636608600000.0,0.02
1636612200000.0,0.02
1636615800000.0,0.91
1636619400000.0,18.53
1636623000000.0,44.58
1636626600000.0,92.28
1636630200000.0,100.06
1636633800000.0,125.19
1636637400000.0,114.52
1636641000000.0,69.08
1636644600000.0,23.69
1636648200000.0,6.1
1636651800000.0,0.05
1636655400000.0,0.02
1636659000000.0,0.01
1636662600000.0,0.01
1636666200000.0,0.01
1636669800000.0,0.02
1636673400000.0,0.02
1636677000000.0,0.02
1636680600000.0,0.02
1636684200000.0,0.01
1636687800000.0,0.0
1636691400000.0,0.0
1636695000000.0,0.0
1636698600000.0,0.04
1636702200000.0,1.13
1636705800000.0,21.06
1636709400000.0,36.07
1636713000000.0,82.06
1636716600000.0,165.84
1636720200000.0,114.89
1636723800000.0,130.12
1636727400000.0,156.64
1636731000000.0,75.44
1636734600000.0,26.01
1636738200000.0,0.16
1636741800000.0,0.01
1636745400000.0,0.01
1636749000000.0,0.01
1636752600000.0,0.01
1636756200000.0,0.02
1636759800000.0,0.01
1636763400000.0,0.02
1636767000000.0,0.03
1636770600000.0,0.03
1636774200000.0,0.02
1636777800000.0,0.02
1636781400000.0,0.02
1636785000000.0,0.01
1636788600000.0,1.07
1636792200000.0,40.59
1636795800000.0,77.12
1636799400000.0,78.8
1636803000000.0,132.71
1636806600000.0,124.82
1636810200000.0,105.23
1636813800000.0,54.17
1636817400000.0,40.64
1636821000000.0,9.86
1636824600000.0,0.13
1636828200000.0,0.01
1636831800000.0,0.03
1636835400000.0,0.03
1636839000000.0,0.01
1636842600000.0,0.01
1636846200000.0,0.01
1636849800000.0,0.01
1636853400000.0,0.01
1636857000000.0,0.03
1636860600000.0,0.03
1636864200000.0,0.02
1636867800000.0,0.01
1636871400000.0,0.03
1636875000000.0,0.93
1636878600000.0,11.89
1636882200000.0,57.37
1636885800000.0,90.74
1636889400000.0,102.21
1636893000000.0,257.24
1636896600000.0,303.47
1636900200000.0,187.35
1636903800000.0,58.67
1636907400000.0,7.45
1636911000000.0,0.07
1636914600000.0,0.01
1636918200000.0,0.01
1636921800000.0,0.02
1636925400000.0,0.03
1636929000000.0,0.0
1636932600000.0,0.03
1636936200000.0,0.01
1636939800000.0,0.02
1636943400000.0,0.01
1636947000000.0,0.01
1636950600000.0,0.01
1636954200000.0,0.01
1636957800000.0,0.02
1636961400000.0,0.8
1636965000000.0,19.41
1636968600000.0,33.73
1636972200000.0,89.82
1636975800000.0,170.36
1636979400000.0,219.12
1636983000000.0,230.48
1636986600000.0,160.56
1636990200000.0,57.12
1636993800000.0,6.28
1636997400000.0,0.04
1637001000000.0,0.01
1637004600000.0,0.01
1637008200000.0,0.0
1637011800000.0,0.0
1637015400000.0,0.01
1637019000000.0,0.02
1637022600000.0,0.01
1637026200000.0,0.02
1637029800000.0,0.01
1637033400000.0,0.0
1637037000000.0,0.02
1637040600000.0,0.01
1637044200000.0,0.0
1637047800000.0,0.62
1637051400000.0,14.82
1637055000000.0,60.01
1637058600000.0,130.02
1637062200000.0,116.4
1637065800000.0,132.11
1637069400000.0,130.01
1637073000000.0,178.89
1637076600000.0,54.3
1637080200000.0,11.53
1637083800000.0,0.05
1637087400000.0,0.03
1637091000000.0,0.01
1637094600000.0,0.01
