# time,irradiance west
1629203400000.0,424.87
1629207000000.0,357.42
1629210600000.0,373.55
1629214200000.0,369.22
1629217800000.0,271.21
1629221400000.0,119.12
1629225000000.0,59.53
1629228600000.0,9.55
1629232200000.0,0.13
1629235800000.0,0.01
1629239400000.0,0.0
1629243000000.0,0.02
1629246600000.0,0.0
1629250200000.0,0.01
1629253800000.0,0.03
1629257400000.0,0.0
1629261000000.0,0.03
1629264600000.0,9.02
1629268200000.0,54.7
1629271800000.0,118.55
1629275400000.0,212.2
1629279000000.0,226.36
1629282600000.0,254.26
1629286200000.0,353.2
1629289800000.0,474.22
1629293400000.0,593.38
1629297000000.0,676.12
1629300600000.0,577.51
1629304200000.0,232.64
1629307800000.0,133.75
1629311400000.0,39.26
1629315000000.0,6.38
1629318600000.0,0.05
1629322200000.0,0.02
1629325800000.0,0.02
1629329400000.0,0.02
1629333000000.0,0.03
1629336600000.0,0.02
1629340200000.0,0.0
1629343800000.0,0.02
1629347400000.0,0.04
1629351000000.0,6.51
1629354600000.0,36.14
1629358200000.0,124.53
1629361800000.0,202.19
1629365400000.0,336.01
1629369000000.0,355.86
1629372600000.0,429.79
1629376200000.0,454.85
1629379800000.0,608.36
1629383400000.0,772.86
1629387000000.0,261.32
1629390600000.0,217.12
1629394200000.0,94.43
1629397800000.0,73.57
1629401400000.0,13.23
1629405000000.0,0.05
1629408600000.0,0.03
1629412200000.0,0.03
1629415800000.0,0.01
1629419400000.0,0.01
1629423000000.0,0.01
1629426600000.0,0.0
1629430200000.0,0.01
1629433800000.0,0.01
1629437400000.0,2.17
1629441000000.0,30.67
1629444600000.0,57.62
1629448200000.0,76.95
1629451800000.0,90.24
1629455400000.0,135.46
1629459000000.0,249.42
1629462600000.0,204.59
1629466200000.0,190.54
1629469800000.0,203.68
1629473400000.0,208.8
1629477000000.0,234.69
1629480600000.0,249.81
1629484200000.0,94.47
1629487800000.0,13.44
1629491400000.0,0.07
1629495000000.0,0.02
1629498600000.0,0.02
1629502200000.0,0.01
1629505800000.0,0.01
1629509400000.0,0.0
1629513000000.0,0.03
1629516600000.0,0.02
1629520200000.0,0.01
1629523800000.0,4.38
1629527400000.0,41.51
1629531000000.0,65.66
1629534600000.0,221.11
1629538200000.0,349.29
1629541800000.0,408.43
1629545400000.0,300.59
1629549000000.0,697.62
1629552600000.0,523.97
1629556200000.0,582.44
1629559800000.0,692.93
1629563400000.0,355.97
1629567000000.0,290.62
1629570600000.0,62.2
1629574200000.0,13.99
1629577800000.0,0.07
1629581400000.0,0.02
1629585000000.0,0.01
1629588600000.0,0.02
1629592200000.0,0.02
1629595800000.0,0.02
1629599400000.0,0.0
1629603000000.0,0.01
1629606600000.0,0.02
1629610200000.0,6.0
1629613800000.0,38.34
1629617400000.0,113.22
1629621000000.0,259.68
1629624600000.0,344.41
1629628200000.0,313.03
