# time,irradiance west
1634045400000.0,257.78
1634049000000.0,176.48
1634052600000.0,68.13
1634056200000.0,41.53
1634059800000.0,12.94
1634063400000.0,0.12
1634067000000.0,0.0
1634070600000.0,0.01
1634074200000.0,0.02
1634077800000.0,0.0
1634081400000.0,0.01
1634085000000.0,0.01
1634088600000.0,0.03
1634092200000.0,0.0
1634095800000.0,0.0
1634099400000.0,0.01
1634103000000.0,0.0
1634106600000.0,0.46
1634110200000.0,24.81
1634113800000.0,82.11
1634117400000.0,116.12
1634121000000.0,218.38
1634124600000.0,153.65
1634128200000.0,156.55
1634131800000.0,133.39
1634135400000.0,103.97
1634139000000.0,95.57
1634142600000.0,49.41
1634146200000.0,7.88
1634149800000.0,0.02
1634153400000.0,0.01
1634157000000.0,0.0
1634160600000.0,0.0
1634164200000.0,0.03
1634167800000.0,0.01
1634171400000.0,0.03
1634175000000.0,0.03
1634178600000.0,0.02
1634182200000.0,0.02
1634185800000.0,0.0
1634189400000.0,0.02
1634193000000.0,0.42
1634196600000.0,14.64
1634200200000.0,47.49
1634203800000.0,74.19
1634207400000.0,119.35
1634211000000.0,131.88
1634214600000.0,138.17
1634218200000.0,156.98
1634221800000.0,88.52
1634225400000.0,67.59
1634229000000.0,45.99
1634232600000.0,9.83
1634236200000.0,0.04
1634239800000.0,0.0
1634243400000.0,0.0
1634247000000.0,0.03
1634250600000.0,0.0
1634254200000.0,0.0
1634257800000.0,0.0
1634261400000.0,0.02
1634265000000.0,0.01
1634268600000.0,0.02
1634272200000.0,0.03
1634275800000.0,0.02
1634279400000.0,0.34
1634283000000.0,17.48
1634286600000.0,74.55
1634290200000.0,113.42
1634293800000.0,192.92
1634297400000.0,213.68
1634301000000.0,197.43
1634304600000.0,257.02
1634308200000.0,301.75
1634311800000.0,100.47
1634315400000.0,31.69
1634319000000.0,7.89
1634322600000.0,0.03
1634326200000.0,0.01
1634329800000.0,0.02
1634333400000.0,0.0
1634337000000.0,0.02
1634340600000.0,0.02
1634344200000.0,0.01
1634347800000.0,0.01
1634351400000.0,0.0
1634355000000.0,0.01
1634358600000.0,0.02
1634362200000.0,0.01
1634365800000.0,1.82
1634369400000.0,16.28
1634373000000.0,67.32
1634376600000.0,132.73
1634380200000.0,185.27
1634383800000.0,201.48
1634387400000.0,173.4
1634391000000.0,150.71
1634394600000.0,97.34
1634398200000.0,65.52
1634401800000.0,20.73
1634405400000.0,2.13
1634409000000.0,0.01
1634412600000.0,0.02
1634416200000.0,0.02
1634419800000.0,0.0
1634423400000.0,0.01
1634427000000.0,0.01
1634430600000.0,0.0
1634434200000.0,0.03
1634437800000.0,0.02
1634441400000.0,0.01
1634445000000.0,0.02
1634448600000.0,0.01
1634452200000.0,0.21
1634455800000.0,19.18
1634459400000.0,49.07
1634463000000.0,107.44
1634466600000.0,271.4
1634470200000.0,265.92
1634473800000.0,215.37
1634477400000.0,181.77
1634481000000.0,135.5
1634484600000.0,65.49
1634488200000.0,14.24
1634491800000.0,2.83
1634495400000.0,0.02
1634499000000.0,0.02
1634502600000.0,0.01
1634506200000.0,0.03
1634509800000.0,0.01
1634513400000.0,0.02
1634517000000.0,0.03
1634520600000.0,0.01
1634524200000.0,0.01
1634527800000.0,0.01
1634531400000.0,0.02
1634535000000.0,0.02
1634538600000.0,0.09
1634542200000.0,8.41
1634545800000.0,46.47
1634549400000.0,86.6
1634808600000.0,145.87
1634812200000.0,250.31
1634815800000.0,369.32
1634819400000.0,420.01
1634823000000.0,406.28
1634826600000.0,375.76
1634830200000.0,249.57
1634833800000.0,57.49
1634837400000.0,6.79
1634841000000.0,0.01
1634844600000.0,0.0
1634848200000.0,0.01
1634851800000.0,0.01
1634855400000.0,0.0
1634859000000.0,0.01
1634862600000.0,0.0
1634866200000.0,0.03
1634869800000.0,0.01
1634873400000.0,0.02
1634877000000.0,0.03
1634880600000.0,0.0
1634884200000.0,0.12
1634887800000.0,8.37
1634891400000.0,37.7
1634895000000.0,68.8
1634898600000.0,116.35
1634902200000.0,181.38
1634905800000.0,169.84
1634909400000.0,164.39
1634913000000.0,110.23
1634916600000.0,86.66
1634920200000.0,41.87
1634923800000.0,3.61
1634927400000.0,0.01
1634931000000.0,0.03
1634934600000.0,0.02
1634938200000.0,0.02
1634941800000.0,0.02
1634945400000.0,0.0
1634949000000.0,0.01
1634952600000.0,0.01
1634956200000.0,0.0
1634959800000.0,0.02
1634963400000.0,0.01
1634967000000.0,0.02
1634970600000.0,0.27
1634974200000.0,9.83
1634977800000.0,32.87
1634981400000.0,106.33
1634985000000.0,100.28
1634988600000.0,98.77
1634992200000.0,101.94
1634995800000.0,159.26
1634999400000.0,119.88
1635003000000.0,54.62
1635006600000.0,9.93
1635010200000.0,0.68
1635013800000.0,0.0
1635017400000.0,0.01
1635021000000.0,0.03
1635024600000.0,0.01
1635028200000.0,0.0
1635031800000.0,0.0
1635035400000.0,0.02
1635039000000.0,0.01
1635042600000.0,0.03
1635046200000.0,0.02
1635049800000.0,0.01
1635053400000.0,0.0
1635057000000.0,0.09
1635060600000.0,12.83
1635064200000.0,47.13
1635067800000.0,81.12
1635071400000.0,183.49
1635075000000.0,197.9
1635078600000.0,308.73
1635082200000.0,284.09
1635085800000.0,241.69
1635089400000.0,221.75
1635093000000.0,44.53
1635096600000.0,4.08
1635100200000.0,0.03
1635103800000.0,0.04
1635107400000.0,0.03
1635111000000.0,0.01
1635114600000.0,0.0
1635118200000.0,0.02
1635121800000.0,0.03
1635125400000.0,0.01
1635129000000.0,0.02
1635132600000.0,0.03
1635136200000.0,0.01
1635139800000.0,0.02
1635143400000.0,0.07
1635147000000.0,15.7
1635150600000.0,38.18
1635154200000.0,100.32
1635157800000.0,199.47
1635161400000.0,333.81
1635165000000.0,297.33
1635168600000.0,443.52
1635172200000.0,255.01
1635175800000.0,143.83
1635179400000.0,44.12
1635183000000.0,2.51
1635186600000.0,0.0
1635190200000.0,0.01
1635193800000.0,0.0
1635197400000.0,0.01
1635201000000.0,0.01
1635204600000.0,0.0
1635208200000.0,0.01
1635211800000.0,0.01
1635215400000.0,0.0
1635219000000.0,0.01
1635222600000.0,0.03
1635226200000.0,0.0
1635229800000.0,0.01
1635233400000.0,9.03
1635237000000.0,41.33
1635240600000.0,61.67
1635244200000.0,76.16
1635247800000.0,157.59
1635251400000.0,155.82
1635255000000.0,122.88
1635258600000.0,184.57
1635262200000.0,76.75
1635265800000.0,24.68
1635269400000.0,1.26
1635273000000.0,0.01
1635276600000.0,0.03
1635280200000.0,0.04
1635283800000.0,0.02
1635287400000.0,0.03
1635291000000.0,0.02
1635294600000.0,0.03
1635298200000.0,0.02
1635301800000.0,0.01
1635305400000.0,0.01
1635309000000.0,0.02
1635312600000.0,0.01
1635316200000.0,0.04
1635319800000.0,6.52
1635323400000.0,19.9
1635327000000.0,37.3
1635330600000.0,61.46
1635334200000.0,74.0
1635337800000.0,77.01
1635341400000.0,80.92
1635345000000.0,53.32
1635348600000.0,37.4
1635352200000.0,6.83
1635355800000.0,0.48
1635359400000.0,0.02
1635363000000.0,0.0
1635366600000.0,0.02
1635370200000.0,0.03
1635373800000.0,0.0
1635377400000.0,0.01
1635381000000.0,0.01
1635384600000.0,0.0
1635388200000.0,0.0
1635391800000.0,0.01
1635395400000.0,0.01
1635399000000.0,0.01
1635402600000.0,0.03
1635406200000.0,3.66
1635409800000.0,47.7
1635413400000.0,93.38
1635417000000.0,184.34
1635420600000.0,191.88
1635424200000.0,352.56
1635427800000.0,276.47
1635431400000.0,205.26
1635435000000.0,109.5
1635438600000.0,44.62
1635442200000.0,4.3
1635445800000.0,0.03
1635449400000.0,0.01
1635453000000.0,0.01
1635456600000.0,0.03
1635460200000.0,0.01
1635463800000.0,0.01
1635467400000.0,0.02
1635471000000.0,0.01
1635474600000.0,0.02
1635478200000.0,0.0
1635481800000.0,0.0
1635485400000.0,0.01
1635489000000.0,0.02
1635492600000.0,8.11
1635496200000.0,41.69
1635499800000.0,83.68
1635503400000.0,180.8
1635507000000.0,266.18
1635510600000.0,135.54
1635514200000.0,146.47
1635517800000.0,99.73
1635521400000.0,74.26
1635525000000.0,18.52
1635528600000.0,0.82
1635532200000.0,0.0
1635535800000.0,0.0
1635539400000.0,0.0
1635543000000.0,0.01
1635546600000.0,0.01
1635550200000.0,0.01
1635553800000.0,0.02
1635557400000.0,0.02
1635561000000.0,0.01
1635564600000.0,0.01
1635568200000.0,0.01
1635571800000.0,0.0
1635575400000.0,0.02
1635579000000.0,6.33
1635582600000.0,54.76
1635586200000.0,90.88
1635589800000.0,169.03
1635593400000.0,302.73
1635597000000.0,349.86
1635600600000.0,278.23
1635604200000.0,288.77
1635607800000.0,115.46
1635611400000.0,34.26
1635615000000.0,1.27
1635618600000.0,0.0
1635622200000.0,0.01
1635625800000.0,0.02
1635629400000.0,0.02
1635633000000.0,0.01
1635636600000.0,0.02
1635640200000.0,0.03
1635643800000.0,0.0
1635647400000.0,0.0
1635651000000.0,0.02
1635654600000.0,0.02
1635658200000.0,0.0
1635661800000.0,0.01
1635665400000.0,4.71
1635669000000.0,47.33
1635672600000.0,84.76
1635676200000.0,153.05
1635679800000.0,190.99
1635683400000.0,253.79
1635687000000.0,130.68
1635690600000.0,66.32
1635694200000.0,66.04
1635697800000.0,23.89
1635701400000.0,1.27
1635705000000.0,0.01
1635708600000.0,0.01
1635712200000.0,0.02
1635715800000.0,0.01
1635719400000.0,0.0
1635723000000.0,0.0
1635726600000.0,0.01
1635730200000.0,0.01
1635733800000.0,0.0
1635737400000.0,0.01
1635741000000.0,0.0
1635744600000.0,0.0
1635748200000.0,0.01
1635751800000.0,6.93
1635755400000.0,28.11
1635759000000.0,44.61
1635762600000.0,192.68
1635766200000.0,261.6
1635769800000.0,232.07
1635773400000.0,265.24
1635777000000.0,249.97
1635780600000.0,40.48
1635784200000.0,29.73
1635787800000.0,1.31
1635791400000.0,0.0
1635795000000.0,0.01
1635798600000.0,0.0
1635802200000.0,0.0
1635805800000.0,0.01
1635809400000.0,0.0
1635813000000.0,0.0
1635816600000.0,0.0
1635820200000.0,0.0
1635823800000.0,0.0
1635827400000.0,0.0
1635831000000.0,0.01
1635834600000.0,0.0
1635838200000.0,5.88
1635841800000.0,26.17
1635845400000.0,38.64
1635849000000.0,147.23
1635852600000.0,256.95
1635856200000.0,271.84
1635859800000.0,263.16
1635863400000.0,280.78
1635867000000.0,61.25
1635870600000.0,26.82
1635874200000.0,1.11
1635877800000.0,0.0
1635881400000.0,0.0
1635885000000.0,0.02
1635888600000.0,0.02
1635892200000.0,0.0
1635895800000.0,0.0
1635899400000.0,0.0
1635903000000.0,0.01
1635906600000.0,0.0
1635910200000.0,0.02
1635913800000.0,0.0
1635917400000.0,0.0
1635921000000.0,0.0
1635924600000.0,4.8
1635928200000.0,26.0
1635931800000.0,42.55
