# time,irradiance west
1626784200000.0,825.7
1626787800000.0,836.36
1626791400000.0,797.0
1626795000000.0,710.58
1626798600000.0,608.41
1626802200000.0,464.93
1626805800000.0,208.19
1626809400000.0,48.79
1626813000000.0,13.37
1626816600000.0,0.19
1626820200000.0,0.05
1626823800000.0,0.02
1626827400000.0,0.01
1626831000000.0,0.03
1626834600000.0,0.03
1626838200000.0,0.04
1626841800000.0,2.72
1626845400000.0,43.25
1626849000000.0,143.78
1626852600000.0,213.16
1626856200000.0,327.0
1626859800000.0,508.18
1626863400000.0,570.57
1626867000000.0,710.05
1626870600000.0,756.79
1626874200000.0,753.11
1626877800000.0,748.54
1626881400000.0,535.27
1626885000000.0,207.28
1626888600000.0,328.07
1626892200000.0,130.37
1626895800000.0,48.21
1626899400000.0,6.71
1626903000000.0,0.07
1626906600000.0,0.03
1626910200000.0,0.04
1626913800000.0,0.03
1626917400000.0,0.02
1626921000000.0,0.04
1626924600000.0,0.04
1626928200000.0,2.47
1626931800000.0,26.64
1626935400000.0,97.12
1626939000000.0,215.44
1626942600000.0,370.03
1626946200000.0,393.65
1626949800000.0,417.75
1626953400000.0,619.58
1626957000000.0,772.93
1626960600000.0,795.35
1626964200000.0,802.07
1626967800000.0,715.62
1626971400000.0,588.87
1626975000000.0,430.59
1626978600000.0,144.41
1626982200000.0,51.51
1626985800000.0,12.01
1626989400000.0,0.07
1626993000000.0,0.01
1626996600000.0,0.01
1627000200000.0,0.03
1627003800000.0,0.02
1627007400000.0,0.02
1627011000000.0,0.0
1627014600000.0,2.32
1627018200000.0,25.93
1627021800000.0,84.93
1627025400000.0,215.15
1627029000000.0,371.88
1627032600000.0,432.38
1627036200000.0,528.75
1627039800000.0,582.03
1627043400000.0,775.93
1627047000000.0,773.43
1627050600000.0,759.51
1627054200000.0,677.63
1627057800000.0,576.3
1627061400000.0,284.33
1627065000000.0,151.43
1627068600000.0,60.38
1627072200000.0,5.42
1627075800000.0,0.05
1627079400000.0,0.0
1627083000000.0,0.03
1627086600000.0,0.01
1627090200000.0,0.01
1627093800000.0,0.02
1627097400000.0,0.03
1627101000000.0,1.98
1627104600000.0,26.47
1627108200000.0,87.73
1627111800000.0,204.29
1627115400000.0,365.53
1627119000000.0,289.9
1627122600000.0,471.93
1627126200000.0,648.8
1627129800000.0,585.08
1627133400000.0,484.78
1627137000000.0,554.65
1627140600000.0,602.62
1627144200000.0,494.33
1627147800000.0,287.31
1627151400000.0,124.09
1627155000000.0,47.27
1627158600000.0,7.83
1627162200000.0,0.04
1627165800000.0,0.01
1627169400000.0,0.01
1627173000000.0,0.02
1627176600000.0,0.05
1627180200000.0,0.0
1627183800000.0,0.0
1627187400000.0,1.62
1627191000000.0,23.53
1627194600000.0,71.28
1627198200000.0,194.27
1627201800000.0,340.98
1627205400000.0,507.43
1627209000000.0,645.27
1627212600000.0,749.33
1627216200000.0,814.58
1627219800000.0,827.82
1627223400000.0,798.67
1627227000000.0,653.83
1627230600000.0,670.3
1627234200000.0,462.45
1627237800000.0,195.83
1627241400000.0,38.73
1627245000000.0,7.93
1627248600000.0,0.04
1627252200000.0,0.01
1627255800000.0,0.02
1627259400000.0,0.03
1627263000000.0,0.02
1627266600000.0,0.03
1627270200000.0,0.0
1627273800000.0,2.37
1627277400000.0,25.89
1627281000000.0,84.34
1627284600000.0,108.9
1627288200000.0,175.44
1627291800000.0,354.34
1627295400000.0,415.17
1627299000000.0,210.11
1627302600000.0,205.31
1627306200000.0,118.47
1627309800000.0,107.64
1627313400000.0,52.3
1627317000000.0,115.27
1627320600000.0,159.33
1627324200000.0,70.33
1627327800000.0,19.28
1627331400000.0,0.91
1627335000000.0,0.03
1627338600000.0,0.02
1627342200000.0,0.0
1627345800000.0,0.02
1627349400000.0,0.0
1627353000000.0,0.01
1627356600000.0,0.02
1627360200000.0,1.0
1627363800000.0,26.7
1627367400000.0,106.06
1627371000000.0,181.92
1627374600000.0,241.69
1627378200000.0,315.97
1627381800000.0,340.66
1627385400000.0,499.31
1627389000000.0,478.93
1627392600000.0,774.48
1627396200000.0,378.42
1627399800000.0,363.61
1627403400000.0,301.47
1627407000000.0,251.35
1627410600000.0,82.28
1627414200000.0,40.14
1627417800000.0,6.28
1627421400000.0,0.0
1627425000000.0,0.0
1627428600000.0,0.02
1627432200000.0,0.01
1627435800000.0,0.0
1627439400000.0,0.01
1627443000000.0,0.0
1627446600000.0,1.59
1627450200000.0,23.46
1627453800000.0,65.0
1627457400000.0,190.16
1627461000000.0,271.56
1627464600000.0,419.15
1627468200000.0,493.13
1627471800000.0,573.13
1627475400000.0,467.99
1627479000000.0,620.31
1627482600000.0,592.02
1627486200000.0,467.16
1627489800000.0,406.76
1627493400000.0,350.72
1627497000000.0,89.27
1627500600000.0,38.53
1627504200000.0,6.58
1627507800000.0,0.01
1627511400000.0,0.0
1627515000000.0,0.03
1627518600000.0,0.02
1627522200000.0,0.03
1627525800000.0,0.01
1627529400000.0,0.01
1627533000000.0,1.27
1627536600000.0,27.31
1627540200000.0,71.42
1627543800000.0,157.92
1627547400000.0,312.97
1627551000000.0,303.29
1627554600000.0,341.07
1627558200000.0,257.63
1627561800000.0,196.44
1627565400000.0,254.86
1627569000000.0,133.07
1627572600000.0,91.33
1627576200000.0,52.86
1627579800000.0,59.98
1627583400000.0,22.28
1627587000000.0,8.49
1627590600000.0,1.01
1627594200000.0,0.0
1627597800000.0,0.01
1627601400000.0,0.03
1627605000000.0,0.01
1627608600000.0,0.03
1627612200000.0,0.01
1627615800000.0,0.0
1627619400000.0,0.45
1627623000000.0,23.81
1627626600000.0,55.48
1627630200000.0,105.07
