# time,cloud general,cloud low,cloud medium,cloud high
1631622600000.0,96.1,94.5,42.2,0.0
1631626200000.0,82.8,77.3,40.6,0.0
1631629800000.0,78.1,54.7,64.8,0.0
1631633400000.0,96.9,90.6,82.0,0.0
1631637000000.0,89.8,71.9,79.7,0.0
1631640600000.0,75.0,57.8,57.0,0.0
1631644200000.0,82.8,76.6,36.7,0.0
1631647800000.0,97.7,96.9,38.3,0.0
1631651400000.0,100.0,100.0,27.3,0.0
1631655000000.0,100.0,100.0,20.3,0.0
1631658600000.0,100.0,100.0,34.4,0.0
1631662200000.0,100.0,100.0,17.2,0.0
1631665800000.0,100.0,100.0,15.6,0.0
1631669400000.0,100.0,100.0,11.7,65.6
1631673000000.0,100.0,100.0,96.1,36.7
1631676600000.0,100.0,99.2,44.5,60.2
1631680200000.0,99.2,75.0,24.2,95.3
1631683800000.0,100.0,100.0,32.8,95.3
1631687400000.0,100.0,98.4,5.5,84.4
1631691000000.0,89.8,86.7,4.7,21.1
1631694600000.0,71.9,69.5,5.5,0.8
1631698200000.0,84.4,82.8,6.2,3.1
1631701800000.0,52.3,22.7,32.0,17.2
1631705400000.0,90.6,50.8,0.0,81.2
1631709000000.0,90.6,69.5,3.9,71.9
1631712600000.0,96.1,76.6,56.2,78.9
1631716200000.0,98.4,92.2,0.8,86.7
1631719800000.0,98.4,83.6,8.6,94.5
1631723400000.0,100.0,85.9,55.5,96.9
1631727000000.0,99.2,57.0,38.3,97.7
1631730600000.0,94.5,22.7,53.9,91.4
1631734200000.0,76.6,0.8,68.0,32.0
1631737800000.0,8.6,0.8,8.6,0.0
1631741400000.0,2.3,0.8,1.6,0.0
1631745000000.0,5.5,5.5,0.0,0.0
1631748600000.0,6.2,6.2,0.0,0.0
1631752200000.0,5.5,5.5,0.0,0.0
1631755800000.0,3.1,3.1,0.0,0.0
1631759400000.0,3.1,3.1,0.8,0.0
1631763000000.0,9.4,4.7,8.6,0.0
1631766600000.0,30.5,10.2,28.1,0.0
1631770200000.0,50.0,22.7,24.2,21.9
1631773800000.0,43.0,40.6,17.2,0.0
1631777400000.0,42.2,42.2,6.2,0.0
1631781000000.0,46.1,39.1,2.3,11.7
1631784600000.0,100.0,100.0,3.9,98.4
1631788200000.0,100.0,100.0,75.8,98.4
1631791800000.0,100.0,100.0,76.6,96.9
1631795400000.0,100.0,100.0,41.4,90.6
1631799000000.0,99.2,94.5,25.8,96.9
1631802600000.0,100.0,100.0,35.2,96.1
1631806200000.0,98.4,96.9,30.5,93.7
1631809800000.0,93.7,86.7,12.5,78.9
1631813400000.0,89.8,87.5,4.7,43.0
1631817000000.0,80.5,42.2,2.3,70.3
1631820600000.0,74.2,43.0,12.5,63.3
1631824200000.0,95.3,86.7,57.0,64.8
1631827800000.0,100.0,100.0,30.5,37.5
1631831400000.0,100.0,100.0,7.8,70.3
1631835000000.0,100.0,100.0,3.1,85.9
1631838600000.0,100.0,100.0,86.7,89.1
1631842200000.0,100.0,100.0,50.0,72.7
1631845800000.0,100.0,100.0,78.1,95.3
1631849400000.0,99.2,85.9,46.9,95.3
1631853000000.0,99.2,14.8,91.4,96.9
1631856600000.0,99.2,2.3,95.3,98.4
1631860200000.0,100.0,0.0,97.7,100.0
1631863800000.0,100.0,0.0,90.6,100.0
1631867400000.0,100.0,0.0,100.0,100.0
1631871000000.0,100.0,14.1,100.0,100.0
1631874600000.0,70.3,2.3,64.8,25.0
1631878200000.0,100.0,13.3,67.2,99.2
1631881800000.0,100.0,16.4,99.2,99.2
1631885400000.0,96.1,19.5,42.2,95.3
1631889000000.0,92.2,18.0,39.1,85.9
1631892600000.0,83.6,18.0,58.6,58.6
1631896200000.0,68.7,10.9,64.1,11.7
1631899800000.0,50.0,19.5,43.7,3.9
1631903400000.0,68.0,7.8,14.1,60.9
1631907000000.0,82.0,0.0,4.7,81.2
1631910600000.0,89.8,0.0,2.3,89.8
1631914200000.0,23.4,0.0,1.6,22.7
1631917800000.0,25.8,0.8,0.8,25.8
1631921400000.0,32.0,0.0,0.0,32.0
1631925000000.0,0.0,0.0,0.0,0.0
1631928600000.0,6.2,0.0,0.0,6.2
1631932200000.0,21.1,0.0,0.0,21.1
1631935800000.0,43.7,0.0,0.0,43.7
1631939400000.0,2.3,0.0,0.0,1.6
1631943000000.0,31.2,0.0,0.0,31.2
1631946600000.0,32.8,0.8,0.0,32.8
1631950200000.0,1.6,1.6,0.0,0.0
1631953800000.0,4.7,1.6,0.0,3.1
1631957400000.0,5.5,1.6,0.0,3.9
1631961000000.0,7.0,3.1,0.0,3.9
1631964600000.0,41.4,41.4,0.0,0.0
1631968200000.0,64.1,64.1,0.0,0.0
1631971800000.0,68.7,68.7,0.0,0.0
1631975400000.0,100.0,96.9,97.7,53.9
1631979000000.0,100.0,1.6,99.2,92.2
1631982600000.0,99.2,0.0,90.6,96.9
1631986200000.0,100.0,3.1,100.0,99.2
1631989800000.0,100.0,29.7,99.2,100.0
1631993400000.0,100.0,96.1,75.0,100.0
1631997000000.0,100.0,73.4,63.3,100.0
1632000600000.0,100.0,100.0,86.7,100.0
1632004200000.0,100.0,93.7,100.0,100.0
1632007800000.0,99.2,6.2,46.1,99.2
1632011400000.0,24.2,2.3,21.9,2.3
1632015000000.0,7.8,3.1,7.8,0.0
1632018600000.0,2.3,0.0,2.3,0.0
1632022200000.0,1.6,0.0,1.6,0.0
1632025800000.0,1.6,0.0,1.6,0.0
1632029400000.0,3.9,0.0,3.9,0.0
1632033000000.0,0.8,0.0,0.8,0.0
1632036600000.0,0.8,0.0,0.8,0.0
1632040200000.0,1.6,0.0,1.6,0.0
1632043800000.0,2.3,0.0,2.3,0.0
1632047400000.0,53.1,21.1,3.9,39.8
1632051000000.0,32.0,27.3,14.8,2.3
1632054600000.0,28.9,24.2,19.5,0.0
1632058200000.0,39.8,18.0,34.4,0.0
1632061800000.0,35.9,26.6,31.2,0.0
1632065400000.0,28.9,21.1,25.8,0.0
1632069000000.0,38.3,33.6,25.0,0.8
1632072600000.0,11.7,10.2,7.0,0.8
1632076200000.0,14.8,10.2,7.0,0.0
1632079800000.0,58.6,2.3,57.8,0.0
1632083400000.0,60.9,0.8,60.9,0.0
1632087000000.0,76.6,1.6,75.8,0.0
1632090600000.0,89.8,4.7,89.8,0.0
1632094200000.0,99.2,11.7,99.2,0.0
1632097800000.0,69.5,16.4,68.7,0.0
1632101400000.0,30.5,14.8,25.0,0.0
1632105000000.0,24.2,20.3,7.0,0.0
1632108600000.0,31.2,14.8,28.9,0.0
1632112200000.0,39.1,14.8,36.7,0.0
1632115800000.0,57.0,29.7,50.0,0.0
1632119400000.0,99.2,50.8,99.2,0.0
1632123000000.0,95.3,87.5,95.3,0.0
1632126600000.0,96.9,90.6,90.6,14.1
1632130200000.0,81.2,25.0,78.1,0.0
1632133800000.0,83.6,53.9,79.7,2.3
1632137400000.0,96.9,96.1,36.7,0.0
1632141000000.0,82.8,76.6,13.3,19.5
1632144600000.0,57.0,57.0,10.2,0.0
1632148200000.0,100.0,100.0,2.3,3.9
1632151800000.0,100.0,100.0,0.8,78.9
1632155400000.0,100.0,100.0,0.0,98.4
1632159000000.0,100.0,46.9,0.0,100.0
1632162600000.0,99.2,26.6,0.0,98.4
1632166200000.0,100.0,6.2,0.0,100.0
1632169800000.0,100.0,5.5,0.0,100.0
1632173400000.0,100.0,4.7,0.0,100.0
1632177000000.0,100.0,10.9,0.0,100.0
1632180600000.0,100.0,29.7,0.0,100.0
1632184200000.0,100.0,18.0,0.0,100.0
1632187800000.0,100.0,5.5,0.0,100.0
1632191400000.0,98.4,42.2,0.0,96.9
1632195000000.0,96.1,57.8,0.0,91.4
1632198600000.0,98.4,63.3,0.0,96.1
1632202200000.0,96.9,63.3,0.0,93.0
1632205800000.0,98.4,43.7,0.0,96.9
1632209400000.0,98.4,39.8,0.0,96.9
1632213000000.0,98.4,51.6,0.0,97.7
1632216600000.0,100.0,96.9,0.0,99.2
1632220200000.0,100.0,77.3,0.0,98.4
1632223800000.0,100.0,86.7,0.0,98.4
1632227400000.0,100.0,100.0,0.0,96.9
1632231000000.0,100.0,91.4,0.0,96.1
1632234600000.0,100.0,100.0,0.0,95.3
1632238200000.0,100.0,100.0,0.0,94.5
1632241800000.0,100.0,100.0,0.0,95.3
1632245400000.0,99.2,95.3,0.0,91.4
1632249000000.0,99.2,91.4,0.0,82.0
1632252600000.0,76.6,64.8,0.0,33.6
1632256200000.0,68.0,66.4,0.0,3.1
1632259800000.0,32.0,31.2,0.0,0.8
1632263400000.0,9.4,8.6,0.0,0.8
1632267000000.0,23.4,22.7,0.0,0.8
1632270600000.0,91.4,90.6,0.0,13.3
1632274200000.0,93.7,88.3,0.0,52.3
1632277800000.0,95.3,95.3,0.0,0.0
1632281400000.0,84.4,84.4,0.0,0.0
1632285000000.0,88.3,88.3,0.0,0.0
