# time,cloud general,cloud low,cloud medium,cloud high
1634045400000.0,99.2,94.5,64.8,82.8
1634049000000.0,97.7,89.8,57.8,59.4
1634052600000.0,64.1,42.2,11.7,31.2
1634056200000.0,46.1,41.4,7.0,0.8
1634059800000.0,80.5,17.2,74.2,0.0
1634063400000.0,34.4,8.6,29.7,0.0
1634067000000.0,11.7,1.6,10.2,0.0
1634070600000.0,50.8,2.3,45.3,13.3
1634074200000.0,38.3,0.8,0.8,37.5
1634077800000.0,8.6,0.0,0.0,8.6
1634081400000.0,8.6,0.0,3.1,6.2
1634085000000.0,1.6,0.0,0.0,1.6
1634088600000.0,7.0,0.0,0.0,7.0
1634092200000.0,82.0,74.2,0.0,31.2
1634095800000.0,100.0,100.0,0.0,38.3
1634099400000.0,100.0,100.0,0.0,21.1
1634103000000.0,100.0,100.0,0.0,39.1
1634106600000.0,100.0,100.0,0.0,7.8
1634110200000.0,100.0,100.0,0.0,0.0
1634113800000.0,100.0,100.0,0.0,0.0
1634117400000.0,100.0,100.0,0.0,1.6
1634121000000.0,3.9,3.9,0.0,0.0
1634124600000.0,29.7,28.1,0.0,2.3
1634128200000.0,81.2,76.6,0.0,16.4
1634131800000.0,50.0,46.9,0.8,6.2
1634135400000.0,56.2,41.4,2.3,23.4
1634139000000.0,38.3,34.4,0.0,6.2
1634142600000.0,66.4,51.6,7.0,28.9
1634146200000.0,50.0,21.9,5.5,35.2
1634149800000.0,25.8,3.9,0.8,22.7
1634153400000.0,92.2,88.3,0.0,31.2
1634157000000.0,72.7,50.8,1.6,44.5
1634160600000.0,82.8,62.5,10.2,54.7
1634164200000.0,82.0,82.0,0.0,0.0
1634167800000.0,85.2,85.2,0.0,0.0
1634171400000.0,82.8,82.8,0.0,0.0
1634175000000.0,100.0,100.0,1.6,0.0
1634178600000.0,100.0,100.0,3.1,0.0
1634182200000.0,100.0,100.0,8.6,0.0
1634185800000.0,100.0,100.0,31.2,0.0
1634189400000.0,100.0,100.0,39.8,0.0
1634193000000.0,100.0,100.0,97.7,1.6
1634196600000.0,100.0,100.0,79.7,21.1
1634200200000.0,100.0,100.0,32.8,25.0
1634203800000.0,100.0,100.0,8.6,10.2
1634207400000.0,99.2,89.8,0.0,74.2
1634211000000.0,100.0,100.0,2.3,100.0
1634214600000.0,100.0,69.5,0.8,99.2
1634218200000.0,100.0,98.4,0.0,100.0
1634221800000.0,100.0,77.3,0.0,100.0
1634225400000.0,100.0,60.9,40.6,100.0
1634229000000.0,100.0,48.4,85.9,100.0
1634232600000.0,100.0,39.8,96.9,100.0
1634236200000.0,100.0,45.3,96.9,100.0
1634239800000.0,100.0,15.6,100.0,100.0
1634243400000.0,100.0,9.4,100.0,100.0
1634247000000.0,100.0,18.7,100.0,100.0
1634250600000.0,100.0,48.4,100.0,100.0
1634254200000.0,100.0,71.1,89.8,100.0
1634257800000.0,100.0,89.8,86.7,100.0
1634261400000.0,100.0,76.6,36.7,100.0
1634265000000.0,95.3,77.3,2.3,62.5
1634268600000.0,64.8,64.1,0.0,0.8
1634272200000.0,100.0,100.0,0.0,0.0
1634275800000.0,100.0,100.0,3.9,0.0
1634279400000.0,100.0,100.0,13.3,0.0
1634283000000.0,100.0,100.0,1.6,0.0
1634286600000.0,100.0,100.0,0.8,0.0
1634290200000.0,100.0,100.0,7.8,0.0
1634293800000.0,93.0,93.0,3.9,0.0
1634297400000.0,96.1,96.1,3.1,0.0
1634301000000.0,100.0,100.0,0.0,0.0
1634304600000.0,100.0,100.0,0.0,0.0
1634308200000.0,100.0,100.0,7.8,0.0
1634311800000.0,100.0,100.0,1.6,0.0
1634315400000.0,100.0,100.0,0.8,0.0
1634319000000.0,100.0,100.0,1.6,0.0
1634322600000.0,75.0,75.0,0.8,0.0
1634326200000.0,71.1,71.1,0.0,0.0
1634329800000.0,49.2,49.2,0.0,0.0
1634333400000.0,49.2,49.2,0.0,0.0
1634337000000.0,63.3,46.1,0.0,30.5
1634340600000.0,78.1,72.7,0.0,26.6
1634344200000.0,100.0,100.0,0.0,91.4
1634347800000.0,100.0,100.0,0.0,99.2
1634351400000.0,100.0,100.0,0.0,98.4
1634355000000.0,100.0,100.0,0.0,100.0
1634358600000.0,100.0,100.0,1.6,100.0
1634362200000.0,100.0,100.0,1.6,100.0
1634365800000.0,100.0,100.0,3.9,100.0
1634369400000.0,100.0,100.0,78.1,100.0
1634373000000.0,100.0,100.0,96.1,100.0
1634376600000.0,100.0,46.9,100.0,100.0
1634380200000.0,100.0,23.4,100.0,100.0
1634383800000.0,99.2,50.8,95.3,70.3
1634387400000.0,100.0,100.0,99.2,100.0
1634391000000.0,100.0,10.2,100.0,100.0
1634394600000.0,100.0,33.6,100.0,100.0
1634398200000.0,100.0,40.6,100.0,100.0
