# time,cloud general,cloud low,cloud medium,cloud high
1626784200000.0,69.5,0.0,0.0,69.5
1626787800000.0,89.8,0.0,0.0,89.8
1626791400000.0,78.1,0.0,0.0,78.1
1626795000000.0,28.9,0.0,0.0,28.9
1626798600000.0,1.6,0.0,0.0,1.6
1626802200000.0,29.7,0.0,0.0,29.7
1626805800000.0,45.3,0.0,0.0,45.3
1626809400000.0,12.5,0.0,0.0,12.5
1626813000000.0,8.6,0.0,0.0,8.6
1626816600000.0,2.3,0.0,0.0,2.3
1626820200000.0,10.9,0.0,0.0,10.9
1626823800000.0,15.6,0.0,0.0,15.6
1626827400000.0,0.0,0.0,0.0,0.0
1626831000000.0,0.0,0.0,0.0,0.0
1626834600000.0,21.9,0.0,0.0,21.9
1626838200000.0,0.0,0.0,0.0,0.0
1626841800000.0,100.0,0.0,0.0,100.0
1626845400000.0,99.2,0.0,0.0,99.2
1626849000000.0,96.9,0.0,0.0,96.9
1626852600000.0,83.6,0.0,0.0,83.6
1626856200000.0,65.6,0.0,0.0,65.6
1626859800000.0,39.8,0.0,0.0,39.8
1626863400000.0,89.8,0.0,7.8,89.8
1626867000000.0,93.7,0.0,38.3,93.7
1626870600000.0,93.0,0.0,22.7,93.0
1626874200000.0,98.4,0.0,35.2,98.4
1626877800000.0,98.4,0.0,27.3,98.4
1626881400000.0,99.2,0.0,32.8,99.2
1626885000000.0,99.2,0.0,17.2,99.2
1626888600000.0,98.4,0.0,0.8,98.4
1626892200000.0,97.7,0.0,0.0,97.7
1626895800000.0,97.7,0.0,29.7,97.7
1626899400000.0,99.2,0.0,91.4,99.2
1626903000000.0,98.4,0.0,96.9,91.4
1626906600000.0,97.7,0.0,86.7,95.3
1626910200000.0,93.7,0.0,82.8,87.5
1626913800000.0,71.1,0.0,58.6,60.2
1626917400000.0,61.7,0.0,14.1,57.8
1626921000000.0,80.5,0.0,14.1,78.9
1626924600000.0,85.2,0.0,48.4,82.8
1626928200000.0,100.0,0.0,88.3,100.0
1626931800000.0,100.0,0.0,91.4,100.0
1626935400000.0,96.9,0.0,66.4,95.3
1626939000000.0,67.2,0.0,27.3,61.7
1626942600000.0,59.4,0.0,10.2,57.0
1626946200000.0,94.5,0.0,18.0,94.5
1626949800000.0,100.0,0.0,25.0,100.0
1626953400000.0,100.0,4.7,41.4,100.0
1626957000000.0,99.2,4.7,35.9,99.2
1626960600000.0,93.0,0.0,4.7,93.0
1626964200000.0,92.2,0.0,0.0,92.2
1626967800000.0,96.9,0.0,0.0,96.9
1626971400000.0,91.4,0.0,0.0,91.4
1626975000000.0,42.2,0.0,0.0,42.2
1626978600000.0,23.4,0.0,0.8,22.7
1626982200000.0,8.6,0.0,7.8,0.8
1626985800000.0,24.2,0.0,5.5,21.1
1626989400000.0,29.7,0.0,28.9,3.1
1626993000000.0,44.5,0.0,44.5,3.9
1626996600000.0,45.3,0.0,45.3,0.0
1627000200000.0,28.1,0.0,28.1,0.0
1627003800000.0,72.7,0.0,62.5,32.8
1627007400000.0,91.4,0.0,59.4,83.6
1627011000000.0,94.5,0.0,37.5,93.0
1627014600000.0,99.2,0.0,8.6,99.2
1627018200000.0,100.0,0.0,7.8,100.0
1627021800000.0,97.7,0.0,0.8,97.7
1627025400000.0,97.7,0.0,0.0,97.7
1627029000000.0,97.7,0.0,0.0,97.7
1627032600000.0,49.2,0.0,0.0,49.2
1627036200000.0,95.3,0.0,2.3,95.3
1627039800000.0,55.5,0.0,0.0,55.5
1627043400000.0,71.1,0.0,0.0,71.1
1627047000000.0,88.3,0.0,4.7,88.3
1627050600000.0,67.2,0.8,0.8,67.2
1627054200000.0,95.3,6.2,7.0,94.5
1627057800000.0,99.2,18.0,34.4,99.2
1627061400000.0,99.2,2.3,67.2,98.4
1627065000000.0,90.6,7.8,18.7,88.3
1627068600000.0,100.0,6.2,2.3,99.2
1627072200000.0,100.0,7.0,2.3,100.0
1627075800000.0,10.2,7.8,3.9,0.8
1627079400000.0,43.7,10.9,6.2,38.3
1627083000000.0,50.8,14.1,13.3,40.6
1627086600000.0,81.2,11.7,13.3,77.3
1627090200000.0,90.6,14.1,1.6,89.8
1627093800000.0,74.2,14.1,0.0,70.3
1627097400000.0,38.3,9.4,0.0,32.0
1627101000000.0,5.5,3.1,0.0,2.3
1627104600000.0,2.3,2.3,0.0,0.0
1627108200000.0,3.1,3.1,0.0,0.0
1627111800000.0,14.8,14.8,0.0,0.0
1627115400000.0,49.2,49.2,0.0,0.0
1627119000000.0,72.7,64.8,0.0,23.4
1627122600000.0,75.0,68.0,0.0,25.0
1627126200000.0,96.9,96.1,0.0,23.4
1627129800000.0,71.9,71.1,0.0,5.5
1627133400000.0,100.0,100.0,0.0,0.0
1627137000000.0,96.9,96.9,0.0,0.0
1627140600000.0,86.7,86.7,20.3,0.0
1627144200000.0,55.5,53.9,24.2,0.0
1627147800000.0,23.4,9.4,22.7,0.0
1627151400000.0,10.9,0.8,4.7,6.2
1627155000000.0,1.6,0.0,1.6,0.0
1627158600000.0,5.5,2.3,4.7,0.0
1627162200000.0,50.0,17.2,25.0,27.3
1627165800000.0,46.9,25.0,11.7,24.2
1627169400000.0,69.5,19.5,24.2,53.1
1627173000000.0,80.5,10.9,10.2,75.8
1627176600000.0,29.7,28.9,0.0,0.8
1627180200000.0,100.0,100.0,0.0,0.0
1627183800000.0,100.0,100.0,0.0,0.0
1627187400000.0,100.0,100.0,0.0,0.0
1627191000000.0,98.4,98.4,0.0,0.0
1627194600000.0,57.8,57.8,0.0,0.0
1627198200000.0,2.3,2.3,0.0,0.0
1627201800000.0,0.0,0.0,0.0,0.0
1627205400000.0,0.0,0.0,0.0,0.0
1627209000000.0,0.0,0.0,0.0,0.0
1627212600000.0,0.0,0.0,0.0,0.0
1627216200000.0,0.8,0.8,0.0,0.0
1627219800000.0,68.7,2.3,0.0,68.0
1627223400000.0,75.0,11.7,0.0,71.9
1627227000000.0,81.2,8.6,0.8,78.9
1627230600000.0,82.8,3.1,19.5,79.7
1627234200000.0,74.2,7.0,18.0,68.7
1627237800000.0,60.2,24.2,24.2,40.6
1627241400000.0,46.9,14.1,20.3,32.8
1627245000000.0,26.6,2.3,7.8,21.1
1627248600000.0,17.2,7.0,16.4,0.0
1627252200000.0,16.4,3.9,15.6,0.0
1627255800000.0,11.7,1.6,11.7,0.0
1627259400000.0,13.3,3.9,10.2,0.0
1627263000000.0,13.3,10.2,5.5,0.0
1627266600000.0,17.2,12.5,3.9,3.1
1627270200000.0,83.6,12.5,2.3,81.2
1627273800000.0,89.1,17.2,1.6,86.7
1627277400000.0,71.1,51.6,0.8,53.9
1627281000000.0,81.2,60.9,0.0,60.9
1627284600000.0,99.2,22.7,14.1,99.2
1627288200000.0,87.5,7.0,63.3,79.7
1627291800000.0,87.5,4.7,60.9,83.6
1627295400000.0,100.0,27.3,89.8,99.2
1627299000000.0,98.4,34.4,87.5,96.9
1627302600000.0,97.7,25.0,88.3,88.3
1627306200000.0,98.4,39.8,94.5,75.0
1627309800000.0,98.4,86.7,82.0,74.2
1627313400000.0,97.7,58.6,95.3,58.6
1627317000000.0,81.2,18.7,74.2,25.8
1627320600000.0,100.0,71.1,99.2,67.2
1627324200000.0,97.7,28.9,90.6,78.1
1627327800000.0,97.7,8.6,96.9,62.5
1627331400000.0,100.0,15.6,100.0,53.1
1627335000000.0,94.5,6.2,93.0,43.0
1627338600000.0,66.4,26.6,64.1,0.0
1627342200000.0,60.9,32.8,50.8,0.0
1627345800000.0,40.6,18.7,35.2,3.1
1627349400000.0,27.3,7.8,24.2,0.8
1627353000000.0,28.1,4.7,25.8,0.0
1627356600000.0,35.2,3.9,34.4,0.0
1627360200000.0,39.1,12.5,35.9,0.0
1627363800000.0,72.7,70.3,23.4,0.0
1627367400000.0,64.8,60.2,24.2,0.0
1627371000000.0,43.7,26.6,35.9,0.0
1627374600000.0,57.8,18.0,52.3,0.0
1627378200000.0,60.9,32.0,50.0,10.9
1627381800000.0,81.2,26.6,57.0,55.5
1627385400000.0,61.7,31.2,53.9,0.8
1627389000000.0,76.6,25.8,74.2,0.0
1627392600000.0,60.2,24.2,57.8,0.0
1627396200000.0,44.5,21.1,39.1,0.0
1627399800000.0,32.8,25.0,20.3,0.0
1627403400000.0,50.8,37.5,41.4,0.0
1627407000000.0,39.1,21.9,32.0,0.0
1627410600000.0,32.0,13.3,28.1,0.0
1627414200000.0,12.5,6.2,10.2,0.0
1627417800000.0,6.2,0.0,6.2,0.0
1627421400000.0,25.8,0.0,25.8,0.0
1627425000000.0,25.0,0.8,25.0,0.0
1627428600000.0,16.4,0.8,16.4,0.0
1627432200000.0,18.7,0.0,18.7,0.0
1627435800000.0,49.2,0.8,49.2,0.0
1627439400000.0,52.3,4.7,52.3,0.0
1627443000000.0,37.5,7.0,36.7,0.0
1627446600000.0,42.2,9.4,39.1,0.0
1627450200000.0,57.0,27.3,51.6,0.0
1627453800000.0,54.7,14.1,53.9,0.0
1627457400000.0,32.0,10.2,28.1,0.0
1627461000000.0,26.6,9.4,21.9,0.0
1627464600000.0,23.4,18.0,8.6,0.0
1627468200000.0,23.4,18.7,14.1,0.0
1627471800000.0,38.3,25.8,33.6,0.0
1627475400000.0,44.5,23.4,40.6,0.0
1627479000000.0,56.2,23.4,53.9,0.0
1627482600000.0,35.9,25.0,31.2,0.0
1627486200000.0,33.6,21.1,30.5,0.0
1627489800000.0,36.7,21.1,32.8,0.0
1627493400000.0,36.7,20.3,31.2,0.0
1627497000000.0,43.0,26.6,38.3,0.0
1627500600000.0,19.5,16.4,9.4,0.0
1627504200000.0,15.6,12.5,10.2,1.6
1627507800000.0,25.8,0.0,9.4,24.2
1627511400000.0,1.6,0.0,0.0,1.6
1627515000000.0,0.0,0.0,0.0,0.0
1627518600000.0,3.9,0.8,3.9,0.0
1627522200000.0,1.6,0.0,1.6,0.0
1627525800000.0,1.6,0.0,0.8,0.8
1627529400000.0,71.1,3.9,60.2,60.9
1627533000000.0,8.6,5.5,7.8,0.8
1627536600000.0,63.3,4.7,59.4,25.8
1627540200000.0,96.9,3.9,83.6,96.1
1627543800000.0,97.7,2.3,93.7,94.5
1627547400000.0,98.4,0.8,91.4,98.4
1627551000000.0,100.0,3.1,97.7,99.2
1627554600000.0,100.0,16.4,100.0,99.2
1627558200000.0,100.0,39.1,99.2,99.2
1627561800000.0,100.0,24.2,100.0,100.0
1627565400000.0,100.0,5.5,100.0,100.0
1627569000000.0,100.0,3.1,100.0,94.5
1627572600000.0,100.0,3.9,97.7,99.2
1627576200000.0,100.0,30.5,98.4,97.7
1627579800000.0,100.0,3.9,100.0,82.8
1627583400000.0,100.0,35.9,99.2,91.4
1627587000000.0,97.7,31.2,94.5,61.7
1627590600000.0,96.1,0.0,85.9,84.4
1627594200000.0,100.0,96.9,100.0,25.8
1627597800000.0,99.2,78.9,93.7,68.0
1627601400000.0,97.7,22.7,94.5,74.2
1627605000000.0,98.4,0.8,92.2,93.0
1627608600000.0,99.2,0.0,39.1,99.2
1627612200000.0,100.0,0.0,99.2,89.8
1627615800000.0,100.0,0.8,98.4,95.3
1627619400000.0,99.2,56.2,96.9,97.7
1627623000000.0,68.7,29.7,48.4,33.6
1627626600000.0,36.7,4.7,32.0,8.6
1627630200000.0,44.5,3.1,41.4,6.2
1627633800000.0,56.2,25.0,48.4,0.0
1627637400000.0,44.5,35.9,30.5,0.0
1627641000000.0,34.4,5.5,32.0,0.0
1627644600000.0,56.2,6.2,40.6,26.6
1627648200000.0,99.2,41.4,97.7,82.0
1627651800000.0,85.9,27.3,43.0,71.1
1627655400000.0,74.2,25.0,37.5,53.1
