# time,cloud general,cloud low,cloud medium,cloud high
1629203400000.0,100.0,100.0,11.7,17.2
1629207000000.0,100.0,100.0,10.9,21.1
1629210600000.0,100.0,100.0,7.8,20.3
1629214200000.0,100.0,100.0,7.8,4.7
1629217800000.0,100.0,100.0,7.8,3.9
1629221400000.0,100.0,100.0,3.1,0.8
1629225000000.0,97.7,97.7,0.8,1.6
1629228600000.0,96.9,96.9,0.0,2.3
1629232200000.0,100.0,100.0,0.0,0.0
1629235800000.0,99.2,99.2,0.0,0.0
1629239400000.0,64.1,64.1,0.0,0.0
1629243000000.0,37.5,37.5,0.0,0.0
1629246600000.0,29.7,29.7,0.0,0.0
1629250200000.0,46.1,46.1,0.0,0.0
1629253800000.0,66.4,66.4,0.0,0.0
1629257400000.0,73.4,73.4,0.0,0.0
1629261000000.0,83.6,83.6,0.0,0.0
1629264600000.0,99.2,99.2,0.0,0.0
1629268200000.0,73.4,73.4,0.0,0.0
1629271800000.0,48.4,48.4,0.0,0.0
1629275400000.0,54.7,54.7,0.0,0.0
1629279000000.0,100.0,100.0,0.0,0.0
1629282600000.0,99.2,99.2,0.0,16.4
1629286200000.0,100.0,100.0,0.0,78.9
1629289800000.0,100.0,99.2,0.0,80.5
1629293400000.0,100.0,100.0,0.0,80.5
1629297000000.0,99.2,97.7,0.0,78.9
1629300600000.0,90.6,85.9,0.0,43.7
1629304200000.0,52.3,43.0,0.0,18.0
1629307800000.0,98.4,98.4,0.0,0.0
1629311400000.0,93.7,93.7,3.9,0.0
1629315000000.0,74.2,71.1,19.5,0.0
1629318600000.0,100.0,100.0,62.5,76.6
1629322200000.0,100.0,94.5,90.6,85.9
1629325800000.0,100.0,100.0,7.8,78.1
1629329400000.0,100.0,100.0,0.0,0.0
1629333000000.0,99.2,99.2,4.7,0.0
1629336600000.0,100.0,100.0,0.0,0.0
1629340200000.0,93.7,93.7,16.4,0.0
1629343800000.0,100.0,100.0,16.4,0.0
1629347400000.0,100.0,100.0,45.3,0.0
1629351000000.0,100.0,100.0,12.5,0.0
1629354600000.0,100.0,100.0,0.0,0.0
1629358200000.0,99.2,99.2,0.0,0.0
1629361800000.0,59.4,59.4,0.8,0.0
1629365400000.0,99.2,99.2,0.0,0.0
1629369000000.0,85.9,85.9,0.0,0.0
1629372600000.0,75.0,72.7,0.0,13.3
1629376200000.0,98.4,98.4,0.0,8.6
1629379800000.0,96.9,96.9,0.0,0.0
1629383400000.0,85.9,85.2,3.1,14.8
1629387000000.0,89.8,80.5,28.1,40.6
1629390600000.0,100.0,97.7,96.9,83.6
1629394200000.0,90.6,27.3,81.2,47.7
1629397800000.0,95.3,28.9,71.9,82.0
1629401400000.0,37.5,10.2,31.2,8.6
1629405000000.0,42.2,26.6,31.2,0.8
1629408600000.0,100.0,100.0,28.1,83.6
1629412200000.0,100.0,100.0,10.2,91.4
1629415800000.0,100.0,100.0,23.4,85.9
1629419400000.0,100.0,100.0,47.7,75.0
1629423000000.0,100.0,100.0,53.1,43.0
1629426600000.0,100.0,100.0,61.7,86.7
1629430200000.0,100.0,100.0,57.8,89.8
1629433800000.0,100.0,100.0,46.1,95.3
1629437400000.0,100.0,100.0,28.9,86.7
1629441000000.0,100.0,100.0,58.6,94.5
1629444600000.0,100.0,100.0,50.0,90.6
1629448200000.0,100.0,100.0,45.3,100.0
1629451800000.0,100.0,100.0,67.2,100.0
1629455400000.0,100.0,100.0,99.2,98.4
1629459000000.0,100.0,100.0,91.4,99.2
1629462600000.0,100.0,100.0,100.0,100.0
1629466200000.0,100.0,100.0,100.0,100.0
1629469800000.0,100.0,100.0,73.4,100.0
1629473400000.0,100.0,68.0,84.4,100.0
1629477000000.0,100.0,18.0,89.8,100.0
1629480600000.0,98.4,7.0,51.6,96.9
1629484200000.0,83.6,4.7,50.0,68.7
1629487800000.0,23.4,9.4,17.2,0.0
1629491400000.0,78.1,7.0,7.0,75.0
1629495000000.0,99.2,15.6,11.7,99.2
1629498600000.0,95.3,42.2,23.4,93.7
1629502200000.0,100.0,100.0,65.6,100.0
1629505800000.0,100.0,100.0,25.8,100.0
1629509400000.0,100.0,100.0,29.7,99.2
1629513000000.0,100.0,100.0,78.1,99.2
1629516600000.0,100.0,99.2,70.3,96.1
1629520200000.0,99.2,92.2,64.8,96.1
1629523800000.0,100.0,100.0,46.1,90.6
1629527400000.0,100.0,100.0,47.7,15.6
1629531000000.0,87.5,80.5,51.6,3.1
1629534600000.0,69.5,58.6,28.9,14.8
1629538200000.0,71.1,70.3,10.2,0.0
1629541800000.0,35.9,32.8,9.4,0.8
1629545400000.0,37.5,15.6,33.6,0.0
1629549000000.0,60.2,47.7,34.4,0.8
1629552600000.0,50.0,21.1,44.5,7.0
1629556200000.0,62.5,46.1,32.0,14.8
1629559800000.0,38.3,31.2,24.2,1.6
1629563400000.0,49.2,35.9,41.4,0.0
1629567000000.0,49.2,15.6,46.9,0.0
1629570600000.0,35.9,18.7,32.0,0.0
1629574200000.0,35.9,28.1,21.9,0.0
1629577800000.0,45.3,34.4,21.1,6.2
1629581400000.0,18.0,10.2,13.3,1.6
1629585000000.0,12.5,5.5,6.2,5.5
1629588600000.0,4.7,2.3,2.3,2.3
1629592200000.0,1.6,0.8,0.0,0.0
1629595800000.0,0.8,0.8,0.0,0.0
1629599400000.0,3.9,3.9,0.0,0.0
1629603000000.0,3.9,3.9,0.0,0.0
1629606600000.0,37.5,37.5,0.0,0.0
1629610200000.0,75.0,75.0,0.0,0.0
1629613800000.0,70.3,70.3,0.0,0.0
1629617400000.0,91.4,91.4,3.1,0.0
1629621000000.0,65.6,64.1,16.4,0.0
1629624600000.0,33.6,32.8,10.2,0.0
1629628200000.0,39.1,35.9,11.7,3.9
1629631800000.0,60.2,60.2,9.4,0.8
1629635400000.0,100.0,100.0,10.2,0.0
1629639000000.0,100.0,100.0,46.1,0.0
1629642600000.0,100.0,100.0,39.1,0.0
1629646200000.0,98.4,98.4,50.0,0.0
1629649800000.0,97.7,96.9,64.8,0.0
1629653400000.0,100.0,100.0,53.1,0.0
1629657000000.0,100.0,100.0,41.4,0.0
1629660600000.0,100.0,100.0,32.0,0.0
1629664200000.0,100.0,100.0,31.2,0.0
1629667800000.0,100.0,100.0,10.2,0.0
