# time,cloud general,cloud low,cloud medium,cloud high
1624365000000.0,96.9,14.8,31.2,96.1
1624368600000.0,97.7,18.0,71.9,96.1
1624372200000.0,99.2,15.6,0.8,98.4
1624375800000.0,100.0,16.4,68.0,99.2
1624379400000.0,99.2,2.3,72.7,98.4
1624383000000.0,100.0,2.3,100.0,99.2
1624386600000.0,100.0,0.0,98.4,99.2
1624390200000.0,100.0,0.0,100.0,97.7
1624393800000.0,100.0,1.6,100.0,98.4
1624397400000.0,100.0,3.9,100.0,89.8
1624401000000.0,100.0,55.5,100.0,89.8
1624404600000.0,100.0,60.2,100.0,95.3
1624408200000.0,100.0,100.0,100.0,85.9
1624411800000.0,100.0,100.0,99.2,95.3
1624415400000.0,100.0,100.0,100.0,96.9
1624419000000.0,100.0,100.0,100.0,96.9
1624422600000.0,100.0,100.0,97.7,93.7
1624426200000.0,100.0,100.0,91.4,79.7
1624429800000.0,100.0,100.0,98.4,64.1
1624433400000.0,100.0,100.0,99.2,93.7
1624437000000.0,100.0,100.0,100.0,94.5
1624440600000.0,100.0,100.0,78.9,78.1
1624444200000.0,100.0,100.0,82.8,53.1
1624447800000.0,100.0,100.0,69.5,29.7
1624451400000.0,100.0,100.0,53.9,1.6
1624455000000.0,100.0,100.0,82.8,27.3
1624458600000.0,100.0,100.0,87.5,57.0
1624462200000.0,100.0,100.0,76.6,25.8
1624465800000.0,100.0,100.0,70.3,27.3
1624469400000.0,98.4,96.9,46.1,39.8
1624473000000.0,93.0,76.6,72.7,64.1
1624476600000.0,75.8,62.5,46.9,19.5
1624480200000.0,64.1,41.4,48.4,21.1
1624483800000.0,37.5,0.0,31.2,11.7
1624487400000.0,37.5,4.7,29.7,8.6
1624491000000.0,32.0,14.8,28.9,0.0
1624494600000.0,28.9,24.2,15.6,0.0
1624498200000.0,32.0,27.3,14.1,0.0
1624501800000.0,21.9,10.9,17.2,0.0
1624505400000.0,30.5,13.3,25.0,0.0
1624509000000.0,11.7,10.2,2.3,0.0
1624512600000.0,9.4,8.6,3.1,0.0
1624516200000.0,13.3,7.8,9.4,0.0
1624519800000.0,10.2,3.9,8.6,0.0
1624523400000.0,9.4,1.6,8.6,0.0
1624527000000.0,31.2,0.0,31.2,0.0
1624530600000.0,9.4,0.0,9.4,0.0
1624534200000.0,43.7,41.4,6.2,0.0
1624537800000.0,79.7,78.9,7.0,0.0
1624541400000.0,60.2,59.4,1.6,0.8
1624545000000.0,99.2,99.2,6.2,34.4
1624548600000.0,78.9,61.7,9.4,51.6
1624552200000.0,99.2,70.3,71.9,97.7
1624555800000.0,100.0,99.2,59.4,99.2
1624559400000.0,100.0,96.9,68.0,100.0
1624563000000.0,100.0,44.5,94.5,100.0
1624566600000.0,100.0,53.9,84.4,100.0
1624570200000.0,99.2,96.9,82.0,73.4
1624573800000.0,96.9,96.1,39.8,2.3
1624577400000.0,100.0,100.0,10.2,0.0
1624581000000.0,99.2,99.2,0.0,0.0
1624584600000.0,98.4,98.4,0.0,0.0
1624588200000.0,32.0,32.0,0.0,0.0
1624591800000.0,28.9,28.9,0.0,0.0
1624595400000.0,57.0,57.0,0.0,0.0
