# time,rain_mm
1631622600000.0,0.2
1631626200000.0,0.1
1631629800000.0,0.3
1631633400000.0,0.2
1631637000000.0,0.1
1631640600000.0,0.2
1631644200000.0,0.3
1631647800000.0,0.3
1631651400000.0,0.4
1631655000000.0,0.5
1631658600000.0,0.4
1631662200000.0,0.5
1631665800000.0,0.6
1631669400000.0,0.2
1631673000000.0,0.2
1631676600000.0,0.0
1631680200000.0,0.0
1631683800000.0,0.1
1631687400000.0,0.0
1631691000000.0,0.0
1631694600000.0,0.0
1631698200000.0,0.0
1631701800000.0,0.0
1631705400000.0,0.0
1631709000000.0,0.0
1631712600000.0,0.0
1631716200000.0,0.0
1631719800000.0,0.0
1631723400000.0,0.0
1631727000000.0,0.0
1631730600000.0,0.0
1631734200000.0,0.0
1631737800000.0,0.0
1631741400000.0,0.0
1631745000000.0,0.0
1631748600000.0,0.0
1631752200000.0,0.0
1631755800000.0,0.0
1631759400000.0,0.0
1631763000000.0,0.0
1631766600000.0,0.0
1631770200000.0,0.0
1631773800000.0,0.0
1631777400000.0,0.0
1631781000000.0,0.0
1631784600000.0,0.0
1631788200000.0,0.0
1631791800000.0,0.0
1631795400000.0,0.0
1631799000000.0,0.0
1631802600000.0,0.0
1631806200000.0,0.0
1631809800000.0,0.0
1631813400000.0,0.0
1631817000000.0,0.0
1631820600000.0,0.0
1631824200000.0,0.2
1631827800000.0,0.5
1631831400000.0,0.2
1631835000000.0,0.1
1631838600000.0,0.3
1631842200000.0,0.5
1631845800000.0,1.8
1631849400000.0,0.4
1631853000000.0,0.0
1631856600000.0,0.2
1631860200000.0,0.5
1631863800000.0,0.0
1631867400000.0,0.2
1631871000000.0,0.1
1631874600000.0,0.1
1631878200000.0,0.0
1631881800000.0,0.0
1631885400000.0,0.1
1631889000000.0,0.2
1631892600000.0,0.0
1631896200000.0,0.0
1631899800000.0,0.0
1631903400000.0,0.0
1631907000000.0,0.0
1631910600000.0,0.0
1631914200000.0,0.0
1631917800000.0,0.0
1631921400000.0,0.0
1631925000000.0,0.0
1631928600000.0,0.0
1631932200000.0,0.0
1631935800000.0,0.0
1631939400000.0,0.0
1631943000000.0,0.0
1631946600000.0,0.0
1631950200000.0,0.0
1631953800000.0,0.0
1631957400000.0,0.0
1631961000000.0,0.0
1631964600000.0,0.0
1631968200000.0,0.0
1631971800000.0,0.0
1631975400000.0,0.3
1631979000000.0,1.0
1631982600000.0,0.3
1631986200000.0,0.1
1631989800000.0,0.0
1631993400000.0,0.1
1631997000000.0,0.3
1632000600000.0,1.6
1632004200000.0,0.7
1632007800000.0,0.0
