# time,rain_mm
1636464600000.0,0.1
1636468200000.0,0.1
1636471800000.0,0.1
1636475400000.0,0.4
1636479000000.0,0.3
1636482600000.0,0.4
1636486200000.0,0.1
1636489800000.0,0.1
1636493400000.0,0.1
1636497000000.0,0.4
1636500600000.0,0.8
1636504200000.0,0.6
1636507800000.0,0.4
1636511400000.0,0.0
1636515000000.0,0.0
1636518600000.0,0.0
1636522200000.0,0.0
1636525800000.0,0.0
1636529400000.0,0.0
1636533000000.0,0.0
1636536600000.0,0.0
1636540200000.0,0.0
1636543800000.0,0.0
1636547400000.0,0.0
1636551000000.0,0.0
1636554600000.0,0.0
1636558200000.0,0.0
1636561800000.0,0.0
1636565400000.0,0.0
1636569000000.0,0.0
1636572600000.0,0.0
1636576200000.0,0.0
1636579800000.0,0.0
1636583400000.0,0.0
1636587000000.0,0.0
1636590600000.0,0.0
1636594200000.0,0.0
1636597800000.0,0.0
1636601400000.0,0.0
1636605000000.0,0.1
1636608600000.0,0.5
1636612200000.0,0.4
1636615800000.0,0.3
1636619400000.0,0.4
1636623000000.0,1.1
1636626600000.0,0.0
1636630200000.0,0.0
1636633800000.0,0.0
1636637400000.0,0.3
1636641000000.0,0.7
1636644600000.0,0.7
1636648200000.0,0.9
1636651800000.0,0.3
1636655400000.0,0.6
1636659000000.0,0.2
1636662600000.0,0.0
1636666200000.0,0.0
1636669800000.0,0.0
1636673400000.0,0.1
1636677000000.0,0.2
1636680600000.0,0.1
1636684200000.0,0.0
1636687800000.0,0.0
1636691400000.0,0.0
1636695000000.0,0.0
1636698600000.0,0.0
1636702200000.0,0.0
1636705800000.0,0.0
1636709400000.0,0.0
1636713000000.0,0.0
1636716600000.0,0.0
1636720200000.0,0.0
1636723800000.0,0.0
1636727400000.0,0.0
1636731000000.0,0.0
1636734600000.0,0.0
1636738200000.0,0.0
1636741800000.0,0.0
1636745400000.0,0.0
1636749000000.0,0.0
1636752600000.0,0.0
1636756200000.0,0.0
1636759800000.0,0.0
1636763400000.0,0.0
1636767000000.0,0.0
1636770600000.0,0.0
1636774200000.0,0.0
1636777800000.0,0.0
1636781400000.0,0.0
1636785000000.0,0.0
1636788600000.0,0.0
1636792200000.0,0.0
1636795800000.0,0.0
1636799400000.0,0.0
1636803000000.0,0.0
1636806600000.0,0.0
1636810200000.0,0.0
1636813800000.0,0.0
1636817400000.0,0.0
1636821000000.0,0.0
1636824600000.0,0.0
1636828200000.0,0.0
1636831800000.0,0.0
1636835400000.0,0.0
1636839000000.0,0.0
1636842600000.0,0.0
1636846200000.0,0.0
1636849800000.0,0.0
1636853400000.0,0.0
1636857000000.0,0.0
1636860600000.0,0.0
1636864200000.0,0.0
1636867800000.0,0.0
1636871400000.0,0.0
1636875000000.0,0.0
1636878600000.0,0.0
1636882200000.0,0.0
1636885800000.0,0.0
1636889400000.0,0.0
1636893000000.0,0.1
1636896600000.0,0.1
1636900200000.0,0.0
1636903800000.0,0.0
1636907400000.0,0.0
1636911000000.0,0.0
1636914600000.0,0.0
