# time,rain_mm
1626784200000.0,0.0
1626787800000.0,0.0
1626791400000.0,0.0
1626795000000.0,0.0
1626798600000.0,0.0
1626802200000.0,0.0
1626805800000.0,0.0
1626809400000.0,0.0
1626813000000.0,0.0
1626816600000.0,0.0
1626820200000.0,0.0
1626823800000.0,0.0
1626827400000.0,0.0
1626831000000.0,0.0
1626834600000.0,0.0
1626838200000.0,0.0
1626841800000.0,0.0
1626845400000.0,0.0
1626849000000.0,0.0
1626852600000.0,0.0
1626856200000.0,0.0
1626859800000.0,0.0
1626863400000.0,0.0
1626867000000.0,0.0
1626870600000.0,0.0
1626874200000.0,0.0
1626877800000.0,0.0
1626881400000.0,0.0
1626885000000.0,0.0
1626888600000.0,0.0
1626892200000.0,0.0
1626895800000.0,0.0
1626899400000.0,0.0
1626903000000.0,0.0
1626906600000.0,0.0
1626910200000.0,0.0
1626913800000.0,0.0
1626917400000.0,0.0
1626921000000.0,0.0
1626924600000.0,0.0
1626928200000.0,0.0
1626931800000.0,0.0
1626935400000.0,0.0
1626939000000.0,0.0
1626942600000.0,0.0
1626946200000.0,0.0
1626949800000.0,0.0
1626953400000.0,0.0
1626957000000.0,0.0
1626960600000.0,0.0
1626964200000.0,0.0
1626967800000.0,0.0
1626971400000.0,0.0
1626975000000.0,0.0
1626978600000.0,0.0
1626982200000.0,0.0
1626985800000.0,0.0
1626989400000.0,0.0
1626993000000.0,0.0
1626996600000.0,0.0
1627000200000.0,0.0
1627003800000.0,0.0
1627007400000.0,0.0
1627011000000.0,0.0
1627014600000.0,0.0
1627018200000.0,0.0
1627021800000.0,0.0
1627025400000.0,0.0
1627029000000.0,0.0
1627032600000.0,0.0
1627036200000.0,0.0
1627039800000.0,0.0
1627043400000.0,0.0
1627047000000.0,0.0
1627050600000.0,0.1
1627054200000.0,0.4
1627057800000.0,0.0
1627061400000.0,0.0
1627065000000.0,0.0
1627068600000.0,0.0
1627072200000.0,0.0
1627075800000.0,0.1
1627079400000.0,0.1
1627083000000.0,0.0
1627086600000.0,0.0
1627090200000.0,0.0
1627093800000.0,0.0
1627097400000.0,0.0
1627101000000.0,0.0
1627104600000.0,0.0
1627108200000.0,0.0
1627111800000.0,0.0
1627115400000.0,0.1
1627119000000.0,0.0
1627122600000.0,0.0
1627126200000.0,0.0
1627129800000.0,0.0
1627133400000.0,0.0
1627137000000.0,0.0
1627140600000.0,0.0
1627144200000.0,0.0
1627147800000.0,0.0
1627151400000.0,0.0
1627155000000.0,0.0
1627158600000.0,0.0
1627162200000.0,0.0
1627165800000.0,0.0
1627169400000.0,0.0
1627173000000.0,0.0
1627176600000.0,0.0
1627180200000.0,0.0
1627183800000.0,0.0
1627187400000.0,0.0
1627191000000.0,0.0
1627194600000.0,0.0
1627198200000.0,0.0
1627201800000.0,0.0
1627205400000.0,0.0
1627209000000.0,0.0
1627212600000.0,0.0
1627216200000.0,0.0
1627219800000.0,0.0
1627223400000.0,0.0
1627227000000.0,0.0
1627230600000.0,0.0
1627234200000.0,0.0
1627237800000.0,0.0
1627241400000.0,0.0
1627245000000.0,0.0
1627248600000.0,0.0
1627252200000.0,0.0
1627255800000.0,0.0
1627259400000.0,0.0
1627263000000.0,0.0
1627266600000.0,0.0
1627270200000.0,0.0
