# time,rain_mm
1629203400000.0,0.0
1629207000000.0,0.0
1629210600000.0,0.0
1629214200000.0,0.0
1629217800000.0,0.0
1629221400000.0,0.0
1629225000000.0,0.0
1629228600000.0,0.0
1629232200000.0,0.0
1629235800000.0,0.0
1629239400000.0,0.0
1629243000000.0,0.0
1629246600000.0,0.0
1629250200000.0,0.0
1629253800000.0,0.0
1629257400000.0,0.0
1629261000000.0,0.0
1629264600000.0,0.0
1629268200000.0,0.0
1629271800000.0,0.0
1629275400000.0,0.0
1629279000000.0,0.0
1629282600000.0,0.0
1629286200000.0,0.0
1629289800000.0,0.0
1629293400000.0,0.0
1629297000000.0,0.0
1629300600000.0,0.0
1629304200000.0,0.0
1629307800000.0,0.0
1629311400000.0,0.0
1629315000000.0,0.0
1629318600000.0,0.1
1629322200000.0,0.3
1629325800000.0,0.1
1629329400000.0,0.0
1629333000000.0,0.1
1629336600000.0,0.1
1629340200000.0,0.0
1629343800000.0,0.2
1629347400000.0,0.2
1629351000000.0,0.0
1629354600000.0,0.0
1629358200000.0,0.1
1629361800000.0,0.2
1629365400000.0,0.1
1629369000000.0,0.1
1629372600000.0,0.2
1629376200000.0,0.1
1629379800000.0,0.0
1629383400000.0,0.0
1629387000000.0,0.0
1629390600000.0,0.0
1629394200000.0,0.0
1629397800000.0,0.0
1629401400000.0,0.0
1629405000000.0,0.0
1629408600000.0,0.0
1629412200000.0,0.0
1629415800000.0,0.3
1629419400000.0,0.6
1629423000000.0,0.4
1629426600000.0,0.2
1629430200000.0,0.1
1629433800000.0,0.1
1629437400000.0,0.4
1629441000000.0,0.7
1629444600000.0,0.6
1629448200000.0,0.3
1629451800000.0,0.7
1629455400000.0,0.7
1629459000000.0,1.8
1629462600000.0,2.9
1629466200000.0,0.8
1629469800000.0,0.1
1629473400000.0,0.1
1629477000000.0,0.0
1629480600000.0,0.0
1629484200000.0,0.0
1629487800000.0,0.0
1629491400000.0,0.0
1629495000000.0,0.0
1629498600000.0,0.0
1629502200000.0,0.0
1629505800000.0,0.0
1629509400000.0,0.0
1629513000000.0,0.3
